question,candidates,llm_final_match
Count of pending/unresolved communities grievances,"['Share Application Money Pending Allotment', 'Terms And Conditions Of Shares Pending Allotment', 'Grievance Redressal Mechanism In Place - Complaint Received From Communities Member', 'Remarks For Assurance Of Describe The Mechanisms To Receive And Redress Grievances Of The Community', 'Number Of Complaints Pending From Stake Holder Group Resolution At The End Of Year - Complaint Received From Communities Member', 'Number Of Complaints Pending From Stake Holder Group Resolution At The End Of Year - Complaint Received From Communities Member - Previous Year']",Number Of Complaints Pending From Stake Holder Group Resolution At The End Of Year - Complaint Received From Communities Member
Description of actions and initiatives to promote access to healthcare products for priority diseases,"['Products And Services Domain', 'Disclosure Of Products And Services Explanatory', 'Details If The Employees Or Worker Of The Entity Have Access To Non Occupational Medical And Healthcare Services Is Not Applicable Explanatory Text Block', 'Description Of Main Activity - Details Of Business Activities Accounting For Ninety Percent Of The Turnover Domain1', 'Do The Employees Or Worker Of The Entity Have Access To Non Occupational Medical And Healthcare Services']",Disclosure Of Products And Services Explanatory
Did the company experience any spills for the current and previous years,"['Number Of Employees In The Company At The End Of The Financial Year', 'Waste Recovered Through Recycled - Previous Year', 'Current Tax Pertaining To Previous Years', 'Did Your Entity Carry Out Any Survey With Regard To Consumer Satisfaction Relating To The Major Products Or Services Of The Entity Significant Locations Of Operation Of The Entity Or The Entity As AWhole', 'Waste Recovered Through Re Used - Previous Year']",Waste Recovered Through Recycled - Previous Year
Did the company face any strike in the current year,"['Number Of Employees In The Company At The End Of The Financial Year', 'Whether Any Borrowing Costs Has Been Capitalised During The Year', 'Face Value Of Units Purchased', 'Do You Have AFocal Point Responsible For Addressing Human Rights Impacts Or Issues Caused Or Contributed To By The Business', 'Do Human Rights Requirements Form Part Of Your Business Agreements And Contracts']",Do You Have AFocal Point Responsible For Addressing Human Rights Impacts Or Issues Caused Or Contributed To By The Business
"Did your entity carry out any survey with regard to consumer satisfaction relating to the major products/services of the entity, significant locations of operation of the entity or the entity as a whole","['Number Of Employees In The Company At The End Of The Financial Year', 'Did Your Entity Carry Out Any Survey With Regard To Consumer Satisfaction Relating To The Major Products Or Services Of The Entity Significant Locations Of Operation Of The Entity Or The Entity As AWhole', 'The Entity Has Not Applicable Carry Out Any Survey With Regard To Consumer Satisfaction Relating To The Major Products Or Services Explanatory Text Block', 'Revenues From Transactions With Other Operating Segments Of The Same Entity']",Did Your Entity Carry Out Any Survey With Regard To Consumer Satisfaction Relating To The Major Products Or Services Of The Entity Significant Locations Of Operation Of The Entity Or The Entity As AWhole
Disclose any significant adverse impact on the environment arising from the value chain of the entity. Are there any mitigations or adaptiation measures taken by the entity in this context,"['Whether There Is Any Change In Functional Currency During The Year', 'Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard Explanatory Text Block', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Remarks For Assurance Of Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard']",Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard Explanatory Text Block
Disclosure of transactions with related parties during the year which are more than 10% of the revenue,"['Disclosure In Auditors Report Relating To Transactions With Related Parties', 'Percentage Of Sales To Related Parties In Total Sales For Share Of Related Party Transactions - Previous Year', 'Percentage Of Purchases From Related Parties In Total Purchases For Share Of Related Party Transactions - Previous Year', 'Whether There Are Changes In Acounting Estimates During The Year', 'Disclosure Of Transactions Between Related Parties Explanatory', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory']",Disclosure Of Transactions Between Related Parties Explanatory
Discontinuation of auditors before end of term,"['Address Of Auditors', 'Address Of Secretarial Auditors', 'Short Term Provisions', 'Short Term Borrowings', 'Number Of Complaints Pending Resolution At The End Of Year - Working Conditions Complaints Member', 'Number Of Complaints Pending Resolution At The End Of Year - Working Conditions Complaints Member - Previous Year']",Address Of Auditors
Discussion of the integration of environmental considerations into strategic planning for data centre needs,"['Remarks For Assurance Of Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers', 'Number Of Employees In The Company At The End Of The Financial Year', 'Assurance Sub Type For Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers', 'Remarks For Assurance Of Whether The Entity Has Translated The Policy Into Procedures', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory']",Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory
Do the farmers have access to PPE kits to prevent themselves from exposure to pesticides while handling wet green tobacco leaves which could lead to Green Tobacco Sickness,"['Changes In Exposure To Risk', 'Whether You Have Processes For Workers To Report The Work Related Hazards And To Remove Themselves From Such Risks', 'Does The Entity Have Any Project Related To Reducing Green House Gas Emission', 'Do The Employees Or Worker Of The Entity Have Access To Non Occupational Medical And Healthcare Services', 'Additional Information About Entity Exposure To Risk']",Whether You Have Processes For Workers To Report The Work Related Hazards And To Remove Themselves From Such Risks
"Does the company actively engage in the research collaborations with the universities, research institutions and other companies","['Research And Development Expense', 'Number Of Employees In The Company At The End Of The Financial Year', 'Name Of Other Parameter Of Energy Consumption Through Other Source From Renewable Sources - Energy Consumption Through Other Source From Renewable Sources Domain1', 'Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company', 'Research Development Expenditure', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Remarks For Assurance Of Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals']",Research And Development Expense
Does the company collaborate with external agencies to reduce the amount of food loss and waste,"['Remarks For Assurance Of Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals', 'Number Of Employees In The Company At The End Of The Financial Year', 'Amount Of Recycled - Hazardous Waste Member - Previous Year', 'Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals Explanatory Text Block', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Amount Of Recycled - Hazardous Waste Member']",Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals Explanatory Text Block
Does the company comply with Maritime Labour Convention adopted by International Labour Organisation in 2006,"['Site Labour Supervision Cost Contracts', 'Whether Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals Is Assured By Assurer', 'Remarksfor Complaints Explanatory Text Block - Forced Labour Or Involuntary Labour Member', 'Number Of Complaints Filed During The Year - Forced Labour Or Involuntary Labour Member', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Remarks For Assurance Of Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals']",Remarksfor Complaints Explanatory Text Block - Forced Labour Or Involuntary Labour Member
Does the company comply with new regilation of Energy Efficiency Existing Ship (require al ships above 400GT),"['New Provisions Other Provisions', 'Whether Performance Against Above Policies And Follow Up Action Is Assured By Assurer', 'Remarks For Assurance Of Performance Against Above Policies And Follow Up Action', 'Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory']",Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company
Does the company conduct an employee satisfaction survey,"['Whether Initial Application Of An Ind As Has An Effect On The Current Period Or Any Prior Period', 'Number Of Employees In The Company At The End Of The Financial Year', 'Did Your Entity Carry Out Any Survey With Regard To Consumer Satisfaction Relating To The Major Products Or Services Of The Entity Significant Locations Of Operation Of The Entity Or The Entity As AWhole', 'The Entity Has Not Applicable Carry Out Any Survey With Regard To Consumer Satisfaction Relating To The Major Products Or Services Explanatory Text Block']",Did Your Entity Carry Out Any Survey With Regard To Consumer Satisfaction Relating To The Major Products Or Services Of The Entity Significant Locations Of Operation Of The Entity Or The Entity As AWhole
Does the company conduct assurance for its ESG or sustainability data through a third party or external agency,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Remarks For Assurance Of Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers', 'Name Of The External Agency If Any Independent Assessment Or Evaluation Or Assurance Has Been Carried Out By An External Agency For Energy Consumption Explanatory Text Block', 'Assurance Sub Type For Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Name Of The External Agency In Case Any Independent Assessment Or Evaluation Or Assurance Has Been Carried Out By An External Agency For Water Withdrawal Explanatory Text Block']",Name Of The External Agency If Any Independent Assessment Or Evaluation Or Assurance Has Been Carried Out By An External Agency For Energy Consumption Explanatory Text Block
Does the company conduct assurance for its suppliers’ ESG or sustainability data through a third party or external agency,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Remarks For Assurance Of Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers', 'Assurance Sub Type For APreferential Procurement Policy Where Preference To Purchase From Suppliers Comprising Marginalized Or Vulnerable Groups And Its Percentage Of Total Procurement By Value Does It Constitute', 'Name Of The External Agency If Any Independent Assessment Or Evaluation Or Assurance Has Been Carried Out By An External Agency For Energy Consumption Explanatory Text Block', 'Assurance Sub Type For Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Name Of The External Agency In Case Any Independent Assessment Or Evaluation Or Assurance Has Been Carried Out By An External Agency For Water Withdrawal Explanatory Text Block']",Name Of The External Agency If Any Independent Assessment Or Evaluation Or Assurance Has Been Carried Out By An External Agency For Energy Consumption Explanatory Text Block
Does the company conduct cybersecurity assessment by a third party,"['Water Withdrawal By Third Party Water - Previous Year', 'Water Discharge By Sent To Third Parties', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory', 'Water Withdrawal By Third Party Water']",Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory
Does the company conduct food safety audits,"['Safety Security Expenses', 'Number Of Employees In The Company At The End Of The Financial Year', 'Number Of Complaints Filed During The Year - Health Safety Complaints Member', 'Remarks For Assurance Of Details Of Instances Of Product Recalls On Account Of Safety Issues', 'Assurance Sub Type For Details Of Instances Of Product Recalls On Account Of Safety Issues']",Number Of Complaints Filed During The Year - Health Safety Complaints Member
"Does the company conduct impact assessments for CSR projects? If yes, provide details","['Details If Exemption Is Granted For Statement Under Section 129', 'Disclosure Of Other Reasons If Company Fails To Spend Prescribed Amount On CSR', 'Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company', 'Disclosure Of Reasons If Company Fails To Spend Prescribed Amount On CSR', 'Name And Brief Details Of Project - Environmental Impact Assessments Of Project1', 'Name And Brief Details Of Project - Environmental Impact Assessments Of Project20']",Name And Brief Details Of Project - Environmental Impact Assessments Of Project1
Does the company conduct of assessment of negative impacts of its operation on the communities,"['Details Of Negative Social Impact Identified - Negative Social Impact Identified1', 'Number Of Employees In The Company At The End Of The Financial Year', 'Details Of Negative Social Impact Identified - Negative Social Impact Identified3', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Remarks For Assurance Of Details Of Actions Taken To Mitigate Any Negative Social Impacts Identified In The Social Impact Assessments', 'Assurance Sub Type For Details Of Actions Taken To Mitigate Any Negative Social Impacts Identified In The Social Impact Assessments']",Remarks For Assurance Of Details Of Actions Taken To Mitigate Any Negative Social Impacts Identified In The Social Impact Assessments
Does the company conduct training and awareness programmes on any of the NGBRC principles for BOD,"['Number Of Employees In The Company At The End Of The Financial Year', 'Assurance Sub Type For Awareness Programmes Conducted For Value Chain Partners On Any Of The Principles During The Financial Year', 'Remarks For Assurance Of Percentage Coverage By Training And Awareness Programs On Any Of The Principles During The Financial Year For BODOr KMPOr Employee Or Worker', 'Remarks For Assurance Of Awareness Programmes Conducted For Value Chain Partners On Any Of The Principles During The Financial Year', 'Assurance Sub Type For Percentage Coverage By Training And Awareness Programs On Any Of The Principles During The Financial Year For BODOr KMPOr Employee Or Worker', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory']",Remarks For Assurance Of Percentage Coverage By Training And Awareness Programs On Any Of The Principles During The Financial Year For BODOr KMPOr Employee Or Worker
Does the company confirm on its commitments to follow guidelines provided by FSSAI and NIN,"['Shares In Company Held By Subsidiaries Of Its Holding Company', 'Provide Details Of The Non Compliance - Law Or Regulation Or Guidelines1', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company', 'Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company', 'Provide Details Of The Non Compliance - Law Or Regulation Or Guidelines12']",Provide Details Of The Non Compliance - Law Or Regulation Or Guidelines1
Does the company disclose ESG engagement with investee company,"['Name Of The Company', 'Name Of Stock Exchange Where The Company Is Listed', 'Assurance Sub Type For Details Of Complaints With Regard To Conflict Of Interest', 'EMail Of The Company', 'Remarks For Assurance Of Details Of Complaints With Regard To Conflict Of Interest', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory']",
Does the company ensure effectiveness of the board through internal or external evaluation or assessment,"['Number Of Employees In The Company At The End Of The Financial Year', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Name Of The External Agency That Undertook Independent Assessment Or Evaluation Or Assurance For Energy Consumption Explanatory Text Block', 'Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues', 'Name Of The External Agency That Undertook Independent Assessment Or Evaluation Or Assurance For Water Discharged Explanatory Text Block']",
Does the company ensure its jewellery meet BIS hallmark standards for quality assurance,"['Remarks For Assurance Of Measures Taken By The Entity To Ensure ASafe And Healthy Work Place', 'Whether Company Has Published Sustainability Report For The Financial Year', 'Assurance Sub Type For Measures Taken By The Entity To Ensure ASafe And Healthy Work Place', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period']",
Does the company focus on providing healthcare facilities to vulnerable portions of the population,"['Number Of Employees In The Company At The End Of The Financial Year', 'Does The Entity Have Any Sites Or Facilities Identified As Designated Consumers Under The Performance Achieve And Trade Scheme Of The Government Of India', 'Do The Employees Or Worker Of The Entity Have Access To Non Occupational Medical And Healthcare Services', 'Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory']",
Does the company follow GRI standards,"['Percentage Of Cost Incurred On Well Being Measures With Respect To Total Revenue Of The Company', 'Number Of Employees In The Company At The End Of The Financial Year', 'Any Independent Assessment Or Evaluation Or Assurance Has Been Carried Out By An External Agency For Energy Consumption', 'Financial Effect Of Deviation From Accounting Standards Balance Sheet', 'Description Of Initial Application Of Standards Or Interpretations Explanatory', 'Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory']",
Does the company follow sustainable mining practices,"['Percentage Of Health And Safety Practices Of Value Chain Partners P3', 'Number Of Employees In The Company At The End Of The Financial Year', 'Description Of Accounting Policy For Mining Rights Explanatory', 'Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",
Does the company have ESG or Sustainability or BRSR policy,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Does The Entity Have An Anti Corruption Or Anti Bribery Policy', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Whether The Company Has Undertaken Assessment Or Assurance Of The BRSRCore']",
Does the company have ESG related products/services?,"['Products And Services Domain', 'Disclosure Of Products And Services Explanatory', 'Does The Entity Have Any Project Related To Reducing Green House Gas Emission', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Name Of Product Or Service - Product Or Service Domain1']",
Does the company have End of Life Vehicles management,"['Number Of Employees In The Company At The End Of The Financial Year', 'Assurer Has Assured Whether The Entity Have ABusiness Continuity And Disaster Management Plan', 'Does The Entity Provide Transition Assistance Programs To Facilitate Continued Employability And The Management Of Career Endings Resulting From Retirement Or Termination Of Employment', 'Does The Entity Have ABusiness Continuity And Disaster Management Plan', 'Remarks For Assurance Of Whether The Entity Provide Transition Assistance Programs To Facilitate Continued Employability And The Management Of Career Endings Resulting From Retirement Or Termination Of Employment', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory']",
Does the company have a communication plan for engaging with the communities affected with aircraft noise,"['Number Of Employees In The Company At The End Of The Financial Year', 'Remarks For Assurance Of Whether The Entity Have ABusiness Continuity And Disaster Management Plan', 'Does The Entity Have ABusiness Continuity And Disaster Management Plan', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016']",
Does the company have a dedicated ethics committee to oversee all the clinical trials,"['Number Of Employees In The Company At The End Of The Financial Year', 'Does The Entity Have Any Project Related To Reducing Green House Gas Emission', 'Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Do You Have APreferential Procurement Policy Where You Give Preference To Purchase From Suppliers Comprising Marginalized Or Vulnerable Groups']",
Does the company have a diversity equality and inclusion policy,"['Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy', 'Does The Entity Have An Anti Corruption Or Anti Bribery Policy', 'Number Of Employees In The Company At The End Of The Financial Year', 'Remarks For Assurance Of Details Of CSRProjects Undertaken In Designated Aspirational Districts As Identified By Government Bodies', 'Initially Applied Ind A Ss Domain', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016']",
Does the company have a documented CSR policy in place,"['Disclosure Responsibility Statement Of CSR Committee That Implementation And Monitoring Of CSR Policy Is In Compliance With CSR Policy Of Company', 'Remarks For Assurance Of Whether Do You Have AFocal Point Responsible For Addressing Human Rights Impacts Or Issues Caused Or Contributed To By The Business', 'Whether Company Has Written CSR Policy', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",
