question,matched_pdf_paragraph
Percentage of plants and offices that were assessed (by entity or statutory authorities or third parties) with respect to health and safety practices?,Category % of your plants and offices that were assessed (by entity or statutory authorities or third parties)
Provide percentage of total employees covered under health and safety measures training,On Health and safety measures On Skill upgradation Total (D)
Percentage of total permanent employees covered by health insurance,Health insurance Accident Insurance Maternity benefits Paternity benefits (A) Day Care facilities
Percentage of total other than permanent employees covered by health insurance,Other than Permanent Workers Permanent Employees Other than Permanent Employees
Percentage of total permanent workers covered by health insurance,Health insurance Accident Insurance Maternity benefits Paternity benefits (A) Day Care facilities
Percentage of total other than permanent workers covered by health insurance,Other than Permanent Workers Permanent Employees Other than Permanent Employees
Percentage of total permanent employees covered by accident insurance,Health insurance Accident Insurance Maternity benefits Paternity benefits (A) Day Care facilities
What is the percentage of female employees in the workforce,b. What is the contribution of exports as a percentage of the total turnover of the entity?
What is the turnover rate for permanent female employees in the Current Year,22. Turnover rate for permanent employees and workers. (Disclose trends for the past 3 years)
What is the turnover rate for permanent female worker in the Current Year,FY 2022-23 (Turnover rate in the year prior to the previous FY) Male Female Total Male Female Total Male Female Total
Pay parity between male and female employees,FY 2022-23 (Turnover rate in the year prior to the previous FY) Male Female Total Male Female Total Male Female Total
Number of complaints on PSH as a % of female employees/workers for current year,Complaints on POSH as a % of female employees / workers 0 0 Complaints on POSH upheld 0 0
What is the gross wages paid to females as percentage of wages paid,Gross wages paid to females as % of total wages 17.00 19.33
How many complaints were filed on discrimination at workplace in current year?,"7. Complaints filed under the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013, in the following format:"
How many complaints were filed by employees and workers or employees as a % of number of employees in the current year,6. Number of Complaints on the following made by employees and workers:
What is the number of pending/unresolved employees and workers grievances as % of total complaints filed in the current year,Number of complaints filed during the year
How many complaints were filed on wages in the current year,Number of complaints filed during the year
Pending resolution of complaints as a % of total complaints filed by employees and workers pertaining to working conditions,Complaints on POSH as a % of female employees / workers 0 0 Complaints on POSH upheld 0 0
What is the turnover rate for permanent workers for the Current Year,22. Turnover rate for permanent employees and workers. (Disclose trends for the past 3 years)
What is the turnover rate for permanent employees for the Current Year,22. Turnover rate for permanent employees and workers. (Disclose trends for the past 3 years)
What is the percentage of cost incurred as a % of total revenue of the company with regards to spending on measures towards wellbeing of employees and workers?,Cost incurred on well-being measures as a % of total revenue of the company 0.3% 0.4%
Percentage of workers or employees in association(s) or unions recognised by the listed entity,7. Membership of employees and worker in association(s) or Unions recognised by the listed entity:
What is the number of complaints filed by the customers as a % of revenue in Current Year?,Number of complaints filed during the year
Total instances of product recalls,4. Details of instances of product recalls on account of safety issues:
% of value chain partners (by value of business done with such partners) that were assessed for Health and Safety practices?,Category % of value chain partners (by value of business done with such partners) that were assessed
What is the purchases from trading houses % of total purchases,Concentration of Purchases a. Purchases from trading houses as % of total purchases 0 0 b. Number of trading houses where purchases are made from 0 0 c. Purchases from top 10 trading houses as % of total purchases from trading houses 0 0
What is purchases from top 10 trading houses as % of total purchases from trading houses,Concentration of Purchases a. Purchases from trading houses as % of total purchases 0 0 b. Number of trading houses where purchases are made from 0 0 c. Purchases from top 10 trading houses as % of total purchases from trading houses 0 0
Number of complaints filed by community stakeholders,Number of complaints filed during the year
Count of pending/unresolved communities grievances,"Communities Yes, weblink can be accessed at: www. parasdefence.com"
Percentage of CSR obligation spent (CSR spent/CSR obligation),S. No. CSR Project No. of persons benefitted from CSR Projects
What is the input material directly sourced from MSMEs/small producers (in % terms - As % of total purchases by value),Directly sourced from MSMEs/ small producers 41.99% 23.56% Sourced directly from within India 97.65% 45.04%
Percentage of capital expenditure investments in specific technologies to improve the environmental and social impacts of products and processes to total capex,"1. Percentage of R&D and capital expenditure (capex) investments in specific technologies to improve the environmental and social impacts of product and processes to total R&D and capex investments made by the entity, respectively."
What is the input material sourced directly from within India as % of total purchases,Directly sourced from MSMEs/ small producers 41.99% 23.56% Sourced directly from within India 97.65% 45.04%
What is the % of job creation in smaller towns - wages paid to persons employed in smaller towns (permanent or non-permanent / on contract) as % of total wage cost,"5. Job creation in smaller towns- Disclose wages paid to persons employed (including employees or workers employed on a permanent or non-permanent/on contract basis) in the following locations, as % of total wage cost. (Place to be categorized as per RBI Classification System - rural / semi-urban / urban / metropolitan)"
What are the number of days of account payable?,8. Number of days of accounts payables ((Accounts payable *365) / Cost of goods/services procured) in the following format:
What is the sales to dealers/distributors as % of total sales,Concentration of Sales a. Sales to dealers / distributors as % of total sales 0 0 b. Number of dealers / distributors to whom sales are made 0 0 c. Sales to top 10 dealers / distributors as % of total sales to dealers / distributors 0 0
What is the sales to top 10 dealers/distributors as % of total sales to dealers/distributors,Concentration of Sales a. Sales to dealers / distributors as % of total sales 0 0 b. Number of dealers / distributors to whom sales are made 0 0 c. Sales to top 10 dealers / distributors as % of total sales to dealers / distributors 0 0
% of data breaches involving PII data of customers,b. Percentage of data breaches involving personally identifiable information of customers – 0%
Share of buildings that are certified according to international building standards/GRESB/IGBC,Health and safety practices 100% (All our plants are ISO 45001:2018 certified through RIR Certification Private Limited and regular ISO audits / reviews are conducted) Working Conditions 100%
Percentage of independent directors on the board,"Yes, the review was done by the Board of Directors of the Company. Annually or on need basis"
Number of independent women directors on the board,"Yes, the review was done by the Board of Directors of the Company. Annually or on need basis"
Number of women directors on the board,"Yes, the review was done by the Board of Directors of the Company. Annually or on need basis"
Average attendance for board meeting in the current FY,FY 2024-25 (Turnover rate in current FY)
Number of directorships of all board members,"2. Does the entity have processes in place to avoid/ manage conflict of interests involving members of the Board? (Yes/No) If Yes, provide details of the same."
Number of directors against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption,5. Number of Directors/KMPs/employees/workers against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/ corruption:
Number of complaints received in relation to issues of conflict of interest of the directors/KMPs,Number of complaints received in relation to issues of Conflict of Interest of the KMPs 0 - 0 -
Percentage of independent directors in nomination and remuneration committee,Median remuneration/ salary/ wages of respective category (J in lakhs)
Percentage of independent directors in audit committee,"In line with the Board-approved Vigil Mechanism and Whistle blower Policy, complainants also have the option to directly approach the Chairman of the Audit Committee. This policy includes built-in safeguards to protect whistle-blowers from any form of victimization, thereby reinforcing the Company’s commitment to transparency, accountability, and ethical conduct."
Number of independent directors in risk management committee,Number of complaints received in relation to issues of Conflict of Interest of the Directors 0 - 0 -
Number of independent directors in CSR committee,Yes. The Board’s Corporate Social Responsibility (CSR) Committee is responsible for sustainability related issues of the Company. This Committee meets at least twice a year to review the Company’s sustainability and CSR performance.
Percentage of subject matter experts appointed in the Audit Committee,Subject for Review Indicate whether review was undertaken by Director / Committee of the Board/ Any other Committee Frequency (Annually/ Half yearly/ Quarterly/ Any other – please specify) P1 P2 P3 P4 P5 P6 P7 P8 P9 P1 P2 P3 P4 P5 P6 P7 P8 P9
Ratio of remuneration of MD/CEO to median remuneration of employees,Median remuneration/ salary/ wages of respective category (J in lakhs)
Percentage of non audit fees as compared to total audit fees,Category As a percentage to total turnover
Number of whistle blower complaints filed in the current year,Number of complaints filed during the year
Number of pending consumer compliant on unfair trade practices,Data privacy 0 0 - 0 0 - Advertising 0 0 - 0 0 - Cyber-security 0 0 - 0 0 - Delivery of essential services 0 0 - 0 0 - Restrictive Trade Practices 0 0 - 0 0 - Unfair Trade Practices 0 0 - 0 0 - Other 0 0 - 0 0 -
Number of employees against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption,5. Number of Directors/KMPs/employees/workers against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/ corruption:
Number of workers against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption,5. Number of Directors/KMPs/employees/workers against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/ corruption:
What is the share of RPTs (as respective %age) in purchases,Share of RPTs in a. Purchases (Purchases with related parties / Total Purchases) 1.73% 0.02% b. Sales (Sales to related parties / Total Sales) 8.96% 10.55% c. Loans & advances (Loans & advances given to related parties / Total loans & advances) 44.99% 94.99%
What is the share of RPTs (as respective %age) in sales,Share of RPTs in a. Purchases (Purchases with related parties / Total Purchases) 1.73% 0.02% b. Sales (Sales to related parties / Total Sales) 8.96% 10.55% c. Loans & advances (Loans & advances given to related parties / Total loans & advances) 44.99% 94.99%
What is the share of RPTs (as respective %age) in loans and advances,Share of RPTs in a. Purchases (Purchases with related parties / Total Purchases) 1.73% 0.02% b. Sales (Sales to related parties / Total Sales) 8.96% 10.55% c. Loans & advances (Loans & advances given to related parties / Total loans & advances) 44.99% 94.99%
What is the share of RPTs (as respective %age) in investments,b. What is the contribution of exports as a percentage of the total turnover of the entity?
Are there any initiatives towards reduction in GHG emissions,"6. Please provide details of air emissions (other than GHG emissions) by the entity, in the following format:"
What are the VOC/POP/HAP emissions for the current year (Unit: Metric Tonne),Parameter Please specify unit Current Financial Year Previous Financial Year
"What are the initiatives taken to reduce the NOx, SOx, PM, VOC, HAP and POP air emissions",SOx Particulate matter (PM) Persistent organic pollutants (POP) Volatile organic compounds (VOC) Hazardous air pollutants (HAP) Others – please specify
Does the company have facilities/operations in water stress regions,"1. Water withdrawal, consumption and discharge in areas of water stress (in kilolitres):"
Has the entity implemented mechanism for Zero Liquid Discharge,"5. Has the entity implemented a mechanism for Zero Liquid Discharge? If yes, provide details of its coverage and implementation."
Does the company monitor Chemical Oxygen Demand during water discharge,Remarks: The Company does not discharge untreated water.
Third party verification of water data,"Water withdrawal by source (in kilolitres) (i) Surface water 0 0 (ii) Groundwater 0 0 (iii) Third party water 13,492 12,460 (iv) Seawater / desalinated water 0 0 (v) Others 75 70 Total volume of water withdrawal (in kilolitres) (i + ii + iii + iv + v) 13,567 12,530 Total volume of water consumption (in kilolitres) 13,567 12,530 Water intensity per rupee of turnover (Water consumed / turnover) 0.41 KL / Lakh 0.53909 KL / Lakh Water intensity per rupee of turnover adjusted for Purchasing Power Parity (PPP) (Total water consumption / Revenue from operations adjusted for PPP) 8.25 KL / Lakh $ 12.08293 KL / Lakh $"
What are the goals/targets/commitments towards Energy consumption,Overall energy consumption has reduced.
"Does the entity have any sites/facilities identified as designated consumers under the Performance, Achieve and Tade Scheme of the Government of India? (Y/N) If yes, disclose whether targets set under the PAT scheme have been achieved in case targets have not been achieved, provide the remedial action taken, if any","2. Does the entity have any sites / facilities identified as designated consumers (DCs) under the Performance, Achieve and Trade (PAT) Scheme of the Government of India? (Y/N) If yes, disclose whether targets set under the PAT scheme have been achieved. In case targets have not been achieved, provide the remedial action taken, if any."
Is there a disclosure regarding the energy management system? ISO 50001 Certification,"Yes, RIR Certification Private Limited has granted ISO 45001:2018 certification to all our Company’s Plants. This certification helps mitigate potential hazards for employees and visitors within our premises, promoting cost efficiency and reducing occupational incidents. The company places paramount importance on occupational health and safety management."
Waste management practices and strategies to reduce usage of hazardous and toxic chemicals from the products and processes,10. Briefly describe the waste management practices adopted in your establishments. Describe the strategy adopted by your company to reduce usage of hazardous and toxic chemicals in your products and processes and the practices adopted to manage such wastes.
"What are the processes to safely reclaim the products for reusing, recycling and disposing at the end of life for, (a) Plastics (including packaging) (b)e-waste (c) hazardous waste and (d) other waste?","3. Describe the processes in place to safely reclaim your products for reusing, recycling and disposing at the end of life, for (a) Plastics (including packaging) (b) E-waste (c) Hazardous waste and (d) other waste."
"Whether Extended Producer Responsibility (EPR) is applicable to entity’s activities (Y/N). If yes, whether the waste collection plan is in line with the Extended Producer Responsibility plan submitteed to Pollution Control Boards","4. Whether Extended Producer Responsibility (EPR) is applicable to the entity’s activities (Yes / No). If yes, whether the waste collection plan is in line with the Extended Producer Responsibility (EPR) plan submitted to Pollution Control Boards? If not, provide steps taken to address the same."
Third party verification of waste data,a. Number of instances of data breaches along-with impact – Nil
Is there presence of offices/manufacturing facilities in ecologically sensitive areas,Remarks: Not Applicable as no operations/ offices are located in/around ecologically sensitive areas
Provide details of significant direct and indirect impact of the entity on biodiversity in ecological sensitive areas along with prevention and remediation activities,"3. With respect to the ecologically sensitive areas reported at Question 11 of Essential Indicators above, provide details of significant direct & indirect impact of the entity on biodiversity in such areas along-with prevention and remediation activities."
Does the company have an Environment or a Biodiversity policy,"4. Does the entity have an equal opportunity policy as per the Rights of Persons with Disabilities Act, 2016? If so, provide a web-link to the policy."
Does the company’s policy on Biodiversity extend to its value chain partners (Y/N),3. Do the enlisted policies extend to your value chain partners? (Yes/No)
Does the company take initiatives with regards to its Biodiversity conservation/land rehabilitation and biodiversity restoration,"3. With respect to the ecologically sensitive areas reported at Question 11 of Essential Indicators above, provide details of significant direct & indirect impact of the entity on biodiversity in such areas along-with prevention and remediation activities."
Are there any goals/targets/commitments set towards carbon neutrality/ Net Zero,"(iii). Net worth (in H) - H 64,347 Lakhs"
Does the organisation report on CDP Disclosure as per Climate Change Module,"1 Climate Change Risk Climate change poses risks to Paras Defence, impacting operations, supply chains, and financial stability. Furthermore, escalating operational costs and evolving geopolitical conditions may compel the company to invest heavily in innovation and adaptive strategies"
"Does the company perform climate related scenario analysis (based on TCFD framework); Based on the climate risk assessment, has the company set up a plan to adapt to the identified physical climate risks","1 Climate Change Risk Climate change poses risks to Paras Defence, impacting operations, supply chains, and financial stability. Furthermore, escalating operational costs and evolving geopolitical conditions may compel the company to invest heavily in innovation and adaptive strategies"
Presence of ISO 14001:2015 certifications,Health and safety practices 100% (All our plants are ISO 45001:2018 certified through RIR Certification Private Limited and regular ISO audits / reviews are conducted) Working Conditions 100%
Does the entity implement carbon pricing mechanism/model?,The entity does not consider the Principles material to its business (Yes/No) Not Applicable The entity is not at a stage where it is in a position to formulate and implement the policies on specified principles (Yes/No)
Does the company have a policy on environmental management and is it available publicly,"5. Does the entity have a framework/ policy on cyber security and risks related to data privacy? (Yes/No) If available, provide a web-link of the policy."
"Is the entity compliant with the appliacble environmental law/regulations/guidelines for India; such as the Water (Prevention and Control of Pollution) Act, AIr (Prevention and Control of Pollution) Act, Environmental protection act and rules thereunder (Y/N). If not, provide details of all such non compliances","13. Is the entity compliant with the applicable environmental law/ regulations/ guidelines in India; such as the Water (Prevention and Control of Pollution) Act, Air (Prevention and Control of Pollution) Act, Environment protection act and rules thereunder (Y/N). If not, provide details of all such non-compliances, in the following format:"
Does the company have a strategy for climate change adaptation and mitigation,"1 Climate Change Risk Climate change poses risks to Paras Defence, impacting operations, supply chains, and financial stability. Furthermore, escalating operational costs and evolving geopolitical conditions may compel the company to invest heavily in innovation and adaptive strategies"
Discussion of the integration of environmental considerations into strategic planning for data centre needs,− Volunteering activities to address local needs of the beneficiaries.
"Are there any social or environmental concerns and/or risks arising from production or disposal of products, as identified in the Life Cycle Perspective/Assessments","2. If there are any significant social or environmental concerns and/or risks arising from production or disposal of your products / services, as identified in the Life Cycle Perspective / Assessments (LCA) or through any other means, briefly describe the same along-with action taken to mitigate the same."
"Has the company taken initiatives to use reusable, recyclable or compostable packagin","4. If the entity has undertaken any specific initiatives or used innovative technology or solutions to improve resource efficiency, or reduce impact due to emissions / effluent discharge / waste generated, please provide details of the same as well as outcome of such initiatives, as per the following format:"
What are the intiatives taken to reduce plastic packaging,b. What are the processes used to identify work-related hazards and assess risks on a routine and non-routine basis by the entity?
Turnover of products and/or services as a percentage of turover from all products/service that carry information about the recycling and/or safe disposal,2. Turnover of products and/ services as a percentage of turnover from all products/service that carry information about:
Does your company have a publicly available no deforestation policy or commitment that applies to your company’s operational practices,10. Briefly describe the waste management practices adopted in your establishments. Describe the strategy adopted by your company to reduce usage of hazardous and toxic chemicals in your products and processes and the practices adopted to manage such wastes.
Does the company owns/lease/manages forest land for its operations,Remarks: The Company does not discharge untreated water.
Are there any intiatives taken with respect to sustainable agriclutire by the company,The Company periodically complies with the extant regulations and principles as are applicable. There were no material non-compliances with respect to statutory / regulatory requirements. The review for the same was done by the Board of Directors of the Company.
Is the manufacturing smart farm equipments/machinery,The Company ensures that energy-efficient equipment is installed across its manufacturing units. The maintenance team is in charge of overseeing this and considerations such as energy ratings are taken into account during the procurement process.
"Is the company exposed to animal products and are these certified or accredited by one or more independent third party? If yes, does the company demand or monitor such certification or accreditation from its suppliers?",Category % of your plants and offices that were assessed (by entity or statutory authorities or third parties)
What are the initiatives taken with respect to Chemical Sagety management,There have been no cases with respect to corruption and conflicts of interest.
Does the company have waste heat recovery systems for enchancing energy efficiency (Cement),"8. Does the entity have any project related to reducing Green House Gas emission? If Yes, then provide details. Yes, the Company ensures the use of energy-efficient equipment across its manufacturing units. The maintenance team is responsible for monitoring and overseeing implementation. Energy efficiency, including energy ratings and related specifications, is a key consideration during the procurement process."
"Is the forestland certified as per international sustainable forest management standards such as FSC, PEFC, SFI","4. Name of the national and international codes/ certifications/labels/ standards (e.g. Forest Stewardship Council, Fairtrade, Rainforest Alliance, Trustea) standards (e.g. SA 8000, OHSAS, ISO, BIS) adopted by your entity and mapped to each principle."
What measures are taken to reduce marine pollution and manage ballast water,"6. Disclose any significant adverse impact to the environment, arising from the value chain of the entity. What mitigation or adaptation measures have been taken by the entity in this regard."
Does the company comply with new regilation of Energy Efficiency Existing Ship (require al ships above 400GT),"Yes, all our business agreements and contracts require the counterparty to comply with applicable regulatory requirements, which also include human rights."
Are there any initiatives to promot sustainable shipping practices or reduce the carbon footprint of port operations,2 EV Charging Point EV charging station was inaugurated within the premises to promote sustainable transportation and also contribute to reduction in carbon footprint.
Does the copmany manufacture electric or alternate fuel bsaed vessel/ships or related components for the same?,"2. If there are any significant social or environmental concerns and/or risks arising from production or disposal of your products / services, as identified in the Life Cycle Perspective / Assessments (LCA) or through any other means, briefly describe the same along-with action taken to mitigate the same."
Is company using sustainable alternative fuels liek SAF in its fleet,Businesses should provide goods and services in a manner that is sustainable and safe
Is there any commitment or plan to shift to alternate fuels such as SAF,"As the Company has not received any major human rights grievances/complaints, there was no need to modify/introduce any business process."
Has the company partnered with airframe and tehnology manufacturesre to increase fuel efficiency and reduce environmental impact,"Engagement with communities primarily involves discussions where their views and opinions on CSR programs are carefully considered. The formulation of Company policies related to Corporate Social Responsibility has been the outcome of ongoing interactions with the stakeholders. The discussions with employees, HR, and team leads have also enabled the Company to implement activities like employee well-being programs, while also promoting environmental initiatives such as water, electricity and fuel conservation."
"Does the company measure or track the age of aircrafts? If yes, the what is the average of company’s air fleet","b. If yes, what percentage of inputs were sourced sustainably?"
Does the company monitor and measure noise levels? Are they compliant with noise regulations,Remarks: The Company is compliant with all applicable environmental law/ regulations/ guidelines in India.
Does the company’s policy and measures align with International Civil Aviation Organisation’s Balance Approach,"In line with the Board-approved Vigil Mechanism and Whistle blower Policy, complainants also have the option to directly approach the Chairman of the Audit Committee. This policy includes built-in safeguards to protect whistle-blowers from any form of victimization, thereby reinforcing the Company’s commitment to transparency, accountability, and ethical conduct."
Does the company have oil spill/gas leak action plan,5. Does the entity have a business continuity and disaster management plan?
Did the company experience any spills for the current and previous years,"2. Details of retirement benefits, for Current FY and Previous Financial Year."
Does the entity have a system to finance sustainable projects,2. a. Does the entity have procedures in place for sustainable sourcing? (Yes/No)
Are ESG factors incorporated in the lending and investment decisions,"Board of directors 5 The Company regularly conducts familiarization programs for its Directors in accordance with the SEBI Listing Regulations and other applicable laws. These programs are designed to ensure that the Directors and Key Managerial Personnel (KMPs) are well-informed about a range of topics. This includes updates on industry trends, the Company’s business model, recent statutory changes, governing regulations, environmental, social and governance (ESG) issues and advancements in technology. The programs also cover the Directors’ roles, rights and responsibilities, as well as developments in defence, economic conditions and the operational environment. Also, Board and KMPs are briefed on new business initiatives, strategic investments, corporate governance practices and various risk factors affecting the Company."
Does the company follow sustainable mining practices,2. a. Does the entity have procedures in place for sustainable sourcing? (Yes/No)
Does the company have tailing management system after mining,5. Does the entity have a business continuity and disaster management plan?
