question_id,original_question_text,combined_query,global_optimal_match,optimal_score,alt_match_1,alt_score_1,alt_match_2,alt_score_2,alt_match_3,alt_score_3,confidence_flag,final_selected_column
Q31,Total Lost time incident rate (LTIR)_Workers?,Total Lost time incident rate (LTIR)_Workers? Discount Rate Used To Reflect Time Value Of Money Regulatory Deferral Account Balances,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member,25.8837,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member,25.8837,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member - Previous Year,24.2836,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member,23.5254,High Confidence,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member
Q32,Total Lost time incident rate (LTIR)_Employees?,Total Lost time incident rate (LTIR)_Employees? Commission Employees,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member,25.855,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member,25.855,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member - Previous Year,24.2566,Turnover Rate - Male Member - Permanent Employees Member,9.4569,High Confidence,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member
Q33,Total recordable work related injuries for employees as a % of the total employees in the company,Total recordable work related injuries for employees as a % of the total employees in the company Number Of Employees In The Company At The End Of The Financial Year,Total Recordable Work Related Injuries - Employees Member,35.582,Total Recordable Work Related Injuries - Employees Member,35.582,Total Recordable Work Related Injuries - Employees Member - Previous Year,35.3173,Remarks For Assurance Of Details Of Employees As At The End Of Financial Year,26.7634,Ambiguous,Total Recordable Work Related Injuries - Employees Member
Q34,Total recordable work related injuries for workers as a % of the total workers in the company,Total recordable work related injuries for workers as a % of the total workers in the company Number Of Employees In The Company At The End Of The Financial Year,Total Recordable Work Related Injuries - Employees Member - Previous Year,35.3173,Total Recordable Work Related Injuries - Employees Member,35.582,Total Recordable Work Related Injuries - Employees Member - Previous Year,35.3173,Remarks For Assurance Of Details Of Employees As At The End Of Financial Year,26.7634,Ambiguous,Total Recordable Work Related Injuries - Employees Member - Previous Year
Q35,Fatalities of employees,Fatalities of employees Commission Employees,Number Of Fatalities - Employees Member,14.5458,Number Of Fatalities - Employees Member,14.5458,Number Of Fatalities - Employees Member - Previous Year,13.3512,Does The Entity Extend Any Life Insurance Or Any Compensatory Package In The Event Of Death Of Employees,10.4991,Low Confidence,Number Of Fatalities - Employees Member
Q36,Fatalities of workers,Fatalities of workers Address Of Registered Office Of Company,Address Of Registered Office Of Company,27.3199,Address Of Registered Office Of Company,27.3199,Remarks For Assurance Of Address Of Registered Office Of Company,23.7841,Assurance Sub Type For Address Of Registered Office Of Company,23.4478,High Confidence,Address Of Registered Office Of Company
Q37,Count of high consquence work related injury or ill health of employees (excluding fatalities),Count of high consquence work related injury or ill health of employees (excluding fatalities) Commission Employees,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,54.0174,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,54.0174,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member - Previous Year,50.5715,Remarks For Assurance Of Details Of Number Of Employees Or Workers Having Suffered High Consequence Work Related Injury Or Ill Health Or Fatalities Who Or Whose Family Members Are Rehabilitated And Placed In Suitable Employment,33.0203,High Confidence,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member
Q38,Count of high consquence work related injury or ill health of (excluding fatalities),Count of high consquence work related injury or ill health of (excluding fatalities) Rates And Taxes Excluding Taxes On Income,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member,51.6084,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member,51.6084,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,51.6084,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member - Previous Year,48.3162,Ambiguous,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member
Q39,Percentage of plants and offices that were assessed (by entity or statutory authorities or third parties) with respect to health and safety practices?,Percentage of plants and offices that were assessed (by entity or statutory authorities or third parties) with respect to health and safety practices? Percentage Of Paid Up Capital Held By Foreign Holding Company And Or With Its Subsidiaries,Percentage Of Health And Safety Practices Of Your Plants And Offices That Were Assessed P3,42.2978,Percentage Of Health And Safety Practices Of Your Plants And Offices That Were Assessed P3,42.2978,Percentage Of Working Conditions Of Your Plants And Offices That Were Assessed P3,34.512,Percentage Of Discrimination At Work Place Of Your Plants And Offices That Were Assessed P5,32.1822,High Confidence,Percentage Of Health And Safety Practices Of Your Plants And Offices That Were Assessed P3
Q40,Provide percentage of total employees covered under health and safety measures training,Provide percentage of total employees covered under health and safety measures training Training Recruitment Expenses,Percentage Of Trained Employees Or Workers - Male Member - On Health And Safety Measures Member - Employees Member,20.552,Percentage Of Trained Employees Or Workers - Gender Member - On Health And Safety Measures Member - Employees Member,20.552,Percentage Of Trained Employees Or Workers - Male Member - On Health And Safety Measures Member - Employees Member,20.552,Percentage Of Trained Employees Or Workers - Female Member - On Health And Safety Measures Member - Employees Member,20.552,Ambiguous,Percentage Of Trained Employees Or Workers - Male Member - On Health And Safety Measures Member - Employees Member
Q41,Percentage of total permanent employees covered by health insurance,Percentage of total permanent employees covered by health insurance Percentage Of Shares Held By Insurance Companies,Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Permanent Employees Member,18.2135,Percentage Of Well Being Of Employees Or Workers - Gender Member - Health Insurance Member - Permanent Employees Member,18.2135,Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Permanent Employees Member,18.2135,Percentage Of Well Being Of Employees Or Workers - Female Member - Health Insurance Member - Permanent Employees Member,18.2135,Ambiguous,Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Permanent Employees Member
Q42,Percentage of total other than permanent employees covered by health insurance,Percentage of total other than permanent employees covered by health insurance Percentage Of Shares Held By Insurance Companies,Percentage Of Well Being Of Employees Or Workers - Other Gender Member - Health Insurance Member - Other Than Permanent Employees Member,22.7048,Percentage Of Well Being Of Employees Or Workers - Other Gender Member - Health Insurance Member - Other Than Permanent Employees Member,22.7048,Percentage Of Well Being Of Employees Or Workers - Female Member - Health Insurance Member - Other Than Permanent Employees Member,22.3342,Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Other Than Permanent Employees Member,22.3342,Ambiguous,Percentage Of Well Being Of Employees Or Workers - Other Gender Member - Health Insurance Member - Other Than Permanent Employees Member
Q43,Percentage of total permanent workers covered by health insurance,Percentage of total permanent workers covered by health insurance Percentage Of Shares Held By Insurance Companies,Percentage Of Shares Held By Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain1,12.3058,Percentage Of Shares Held By Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain25,12.3058,Percentage Of Shares Held By Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain238,12.3058,Percentage Of Shares Held By Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain236,12.3058,Low Confidence,Percentage Of Shares Held By Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain1
Q44,Percentage of total other than permanent workers covered by health insurance,Percentage of total other than permanent workers covered by health insurance Percentage Of Shares Held By Insurance Companies,Percentage Of Shares Held By Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain2,12.3058,Percentage Of Shares Held By Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain122,12.3058,Percentage Of Shares Held By Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain178,12.3058,Percentage Of Shares Held By Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain21,12.3058,Low Confidence,Percentage Of Shares Held By Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain2
Q45,Percentage of total permanent employees covered by accident insurance,Percentage of total permanent employees covered by accident insurance Percentage Of Shares Held By Insurance Companies,Percentage Of Well Being Of Employees Or Workers - Male Member - Accident Insurance Member - Permanent Employees Member,19.1348,Percentage Of Well Being Of Employees Or Workers - Gender Member - Accident Insurance Member - Permanent Employees Member,19.1348,Percentage Of Well Being Of Employees Or Workers - Male Member - Accident Insurance Member - Permanent Employees Member,19.1348,Percentage Of Well Being Of Employees Or Workers - Female Member - Accident Insurance Member - Permanent Employees Member,19.1348,Ambiguous,Percentage Of Well Being Of Employees Or Workers - Male Member - Accident Insurance Member - Permanent Employees Member
Q46,What is the percentage of female employees in the workforce,What is the percentage of female employees in the workforce Number Of Employees In The Company At The End Of The Financial Year,Number Of Complaints Pending Resolution At The End Of Year - Discrimination At Work Place Member - Previous Year,22.712,Whether Details Of Employees As At The End Of Financial Year Is Assured By Assurer,23.9238,Number Of Complaints Pending Resolution At The End Of Year - Discrimination At Work Place Member,23.059,Average Number Of Female Employees Or Workers At The Beginning Of The Year And As At End Of The Year,22.7221,Ambiguous,Number Of Complaints Pending Resolution At The End Of Year - Discrimination At Work Place Member - Previous Year
