question_id,question_text,global_optimal_match,optimal_score,alt_match_1,alt_score_1,alt_match_2,alt_score_2,alt_match_3,alt_score_3,confidence_flag,final_selected_column
Q31,Total Lost time incident rate (LTIR)_Workers?,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member,25.8837,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member,25.8837,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member - Previous Year,24.2836,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member,23.5254,High Confidence,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member
Q32,Total Lost time incident rate (LTIR)_Employees?,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member,25.855,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member,25.855,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member - Previous Year,24.2566,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member,23.5254,High Confidence,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member
Q33,Total recordable work related injuries for employees as a % of the total employees in the company,Total Recordable Work Related Injuries - Employees Member,35.582,Total Recordable Work Related Injuries - Employees Member,35.582,Total Recordable Work Related Injuries - Employees Member - Previous Year,32.8814,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,18.4493,High Confidence,Total Recordable Work Related Injuries - Employees Member
Q34,Total recordable work related injuries for workers as a % of the total workers in the company,Total Recordable Work Related Injuries - Workers Member,35.6178,Total Recordable Work Related Injuries - Workers Member,35.6178,Total Recordable Work Related Injuries - Workers Member - Previous Year,32.9146,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member,18.479,High Confidence,Total Recordable Work Related Injuries - Workers Member
Q35,Fatalities of employees,Number Of Fatalities - Employees Member,14.5458,Number Of Fatalities - Employees Member,14.5458,Number Of Fatalities - Employees Member - Previous Year,13.3512,Does The Entity Extend Any Life Insurance Or Any Compensatory Package In The Event Of Death Of Employees,10.4991,High Confidence,Number Of Fatalities - Employees Member
Q36,Fatalities of workers,Number Of Fatalities - Workers Member,14.5849,Number Of Fatalities - Workers Member,14.5849,Number Of Fatalities - Workers Member - Previous Year,13.387,Does The Entity Extend Any Life Insurance Or Any Compensatory Package In The Event Of Death Of Workers,10.5238,High Confidence,Number Of Fatalities - Workers Member
Q37,Count of high consquence work related injury or ill health of employees (excluding fatalities),High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,54.0174,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,54.0174,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member - Previous Year,50.5715,Remarks For Assurance Of Details Of Number Of Employees Or Workers Having Suffered High Consequence Work Related Injury Or Ill Health Or Fatalities Who Or Whose Family Members Are Rehabilitated And Placed In Suitable Employment,33.0203,High Confidence,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member
Q38,Count of high consquence work related injury or ill health of (excluding fatalities),High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member,51.6084,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member,51.6084,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,51.6084,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member - Previous Year,48.3162,Ambiguous,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member
Q39,Percentage of plants and offices that were assessed (by entity or statutory authorities or third parties) with respect to health and safety practices?,Percentage Of Health And Safety Practices Of Your Plants And Offices That Were Assessed P3,42.2978,Percentage Of Health And Safety Practices Of Your Plants And Offices That Were Assessed P3,42.2978,Percentage Of Discrimination At Work Place Of Your Plants And Offices That Were Assessed P5,32.1822,Percentage Of Wages Of Your Plants And Offices That Were Assessed P5,29.6472,High Confidence,Percentage Of Health And Safety Practices Of Your Plants And Offices That Were Assessed P3
Q40,Provide percentage of total employees covered under health and safety measures training,Percentage Of Trained Employees Or Workers - Male Member - On Health And Safety Measures Member - Employees Member,20.552,Percentage Of Trained Employees Or Workers - Gender Member - On Health And Safety Measures Member - Employees Member,20.552,Percentage Of Trained Employees Or Workers - Male Member - On Health And Safety Measures Member - Employees Member,20.552,Percentage Of Trained Employees Or Workers - Female Member - On Health And Safety Measures Member - Employees Member,20.552,Ambiguous,Percentage Of Trained Employees Or Workers - Male Member - On Health And Safety Measures Member - Employees Member
Q41,Percentage of total permanent employees covered by health insurance,Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Permanent Employees Member,18.2135,Percentage Of Well Being Of Employees Or Workers - Gender Member - Health Insurance Member - Permanent Employees Member,18.2135,Percentage Of Well Being Of Employees Or Workers - Female Member - Health Insurance Member - Permanent Employees Member,18.2135,Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Permanent Employees Member,18.2135,Ambiguous,Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Permanent Employees Member
Q42,Percentage of total other than permanent employees covered by health insurance,Percentage Of Well Being Of Employees Or Workers - Other Gender Member - Health Insurance Member - Other Than Permanent Employees Member,22.7048,Percentage Of Well Being Of Employees Or Workers - Other Gender Member - Health Insurance Member - Other Than Permanent Employees Member,22.7048,Percentage Of Well Being Of Employees Or Workers - Female Member - Health Insurance Member - Other Than Permanent Employees Member,22.3342,Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Other Than Permanent Employees Member,22.3342,Ambiguous,Percentage Of Well Being Of Employees Or Workers - Other Gender Member - Health Insurance Member - Other Than Permanent Employees Member
Q43,Percentage of total permanent workers covered by health insurance,Percentage Of Persons In Respective Category Covered By The Awareness Programmes - Workers Segment Member,11.625,Percentage Of Persons In Respective Category Covered By The Awareness Programmes - Workers Segment Member,11.625,Remarks For Assurance Of Whether Your Entitys Policy Or Policies Cover Each Principle And Its Core Elements Of The NGRBCs,10.3102,Whether Reasons If Policies Not Cover Each Principle And Its Core Elements Of The NGRBCs Is Assured By Assurer,10.2358,Low Confidence,Percentage Of Persons In Respective Category Covered By The Awareness Programmes - Workers Segment Member
Q44,Percentage of total other than permanent workers covered by health insurance,Details Of Mechanism Available To Receive And Redress Grievances For Other Than Permanent Workers Explanatory Text Block,11.1788,Percentage Of Persons In Respective Category Covered By The Awareness Programmes - Workers Segment Member,11.625,Details Of Mechanism Available To Receive And Redress Grievances For Other Than Permanent Workers Explanatory Text Block,11.1788,Is There AMechanism Available To Receive And Redress Grievances For Other Than Permanent Workers,10.3862,Low Confidence,Details Of Mechanism Available To Receive And Redress Grievances For Other Than Permanent Workers Explanatory Text Block
Q45,Percentage of total permanent employees covered by accident insurance,Percentage Of Well Being Of Employees Or Workers - Male Member - Accident Insurance Member - Permanent Employees Member,19.1348,Percentage Of Well Being Of Employees Or Workers - Gender Member - Accident Insurance Member - Permanent Employees Member,19.1348,Percentage Of Well Being Of Employees Or Workers - Female Member - Accident Insurance Member - Permanent Employees Member,19.1348,Percentage Of Well Being Of Employees Or Workers - Male Member - Accident Insurance Member - Permanent Employees Member,19.1348,Ambiguous,Percentage Of Well Being Of Employees Or Workers - Male Member - Accident Insurance Member - Permanent Employees Member
Q46,What is the percentage of female employees in the workforce,Return To Work Rate Permanent Employees That Took Parental Leave - Female Member,12.2362,Details Of Product Information On The Product Over And Above What Is Mandated As Per Local Laws Explanatory Text Block,12.6141,Return To Work Rate Permanent Employees That Took Parental Leave - Female Member,12.2362,Remarks For Assurance Of Whether The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,12.0882,Low Confidence,Return To Work Rate Permanent Employees That Took Parental Leave - Female Member
Q47,What is the turnover rate for permanent female employees in the Current Year,Retention Rates Permanent Employees That Took Parental Leave - Female Member,23.4421,Retention Rates Permanent Employees That Took Parental Leave - Female Member,23.4421,Turnover Rate - Female Member - Permanent Employees Member,22.4572,Retention Rates Permanent Employees That Took Parental Leave - Gender Member,19.076,Ambiguous,Retention Rates Permanent Employees That Took Parental Leave - Female Member
Q48,What is the turnover rate for permanent female worker in the Current Year,Retention Rates Permanent Workers That Took Parental Leave - Female Member,23.474,Retention Rates Permanent Workers That Took Parental Leave - Female Member,23.474,Turnover Rate - Female Member - Permanent Workers Member,22.493,Retention Rates Permanent Workers That Took Parental Leave - Gender Member,19.1079,Ambiguous,Retention Rates Permanent Workers That Took Parental Leave - Female Member
Q49,Pay parity between male and female employees,Number Of Employees Or Workers Related To Minimum Wages - Total Minimum Wages Member - Female Member - Permanent Employees Member,10.9939,Number Of Employees Or Workers Related To Minimum Wages - Total Minimum Wages Member - Female Member - Permanent Employees Member,10.9939,Number Of Employees Or Workers Related To Minimum Wages - Equal To Minimum Wage Member - Female Member - Permanent Employees Member,10.7455,Percentage Of Employees Or Workers Related To Minimum Wages - Equal To Minimum Wage Member - Female Member - Permanent Employees Member,10.7455,Low Confidence,Number Of Employees Or Workers Related To Minimum Wages - Total Minimum Wages Member - Female Member - Permanent Employees Member
Q50,Number of complaints on PSH as a % of female employees/workers for current year,Average Number Of Female Employees Or Workers At The Beginning Of The Year And As At End Of The Year,16.6422,Average Number Of Female Employees Or Workers At The Beginning Of The Year And As At End Of The Year,16.6422,Number Of Trained Employees Or Workers - Female Member - On Skill Upgradation Member - Workers Member,16.1368,Number Of Trained Employees Or Workers - Female Member - On Skill Upgradation Member - Employees Member,16.125,Ambiguous,Average Number Of Female Employees Or Workers At The Beginning Of The Year And As At End Of The Year
Q51,What is the gross wages paid to females as percentage of wages paid,Percentage Of Gross Wages Paid To Female To Total Wages Paid,31.9788,Percentage Of Gross Wages Paid To Female To Total Wages Paid,31.9788,Gross Wages Paid To Female,30.2982,Percentage Of Gross Wages Paid To Female To Total Wages Paid - Previous Year,30.1756,High Confidence,Percentage Of Gross Wages Paid To Female To Total Wages Paid
Q52,How many complaints were filed on discrimination at workplace in current year?,Number Of Complaints Filed During The Year - Discrimination At Work Place Member,31.1603,Number Of Complaints Filed During The Year - Discrimination At Work Place Member,31.1603,Number Of Complaints Pending Resolution At The End Of Year - Discrimination At Work Place Member,25.1388,Remarksfor Complaints Explanatory Text Block - Discrimination At Work Place Member,22.8383,High Confidence,Number Of Complaints Filed During The Year - Discrimination At Work Place Member
Q53,How many complaints were filed by employees and workers or employees as a % of number of employees in the current year,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Employees And Workers Member,19.7927,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Employees And Workers Member,19.7927,Number Of Complaints Filed During The Year - Working Conditions Complaints Member,18.4837,Number Of Complaints Filed During The Year - Health Safety Complaints Member,18.4837,High Confidence,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Employees And Workers Member
Q54,What is the number of pending/unresolved employees and workers grievances as % of total complaints filed in the current year,Number Of Complaints Pending From Stake Holder Group Resolution At The End Of Year - Complaint Received From Employees And Workers Member,18.7871,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Employees And Workers Member,19.7927,Number Of Complaints Pending From Stake Holder Group Resolution At The End Of Year - Complaint Received From Employees And Workers Member,18.7871,Number Of Complaints Filed During The Year - Health Safety Complaints Member,18.4837,High Confidence,Number Of Complaints Pending From Stake Holder Group Resolution At The End Of Year - Complaint Received From Employees And Workers Member
Q55,How many complaints were filed on wages in the current year,Number Of Complaints Filed During The Year - Wages Member,18.3034,Number Of Complaints Filed During The Year - Wages Member,18.3034,Number Of Complaints Filed During The Year - Health Safety Complaints Member,14.5737,Number Of Complaints Filed During The Year - Working Conditions Complaints Member,14.5737,High Confidence,Number Of Complaints Filed During The Year - Wages Member
Q56,Pending resolution of complaints as a % of total complaints filed by employees and workers pertaining to working conditions,Number Of Complaints Pending Resolution At The End Of Year - Working Conditions Complaints Member,27.7168,Number Of Complaints Pending Resolution At The End Of Year - Working Conditions Complaints Member,27.7168,Number Of Complaints Pending Resolution At The End Of Year - Working Conditions Complaints Member - Previous Year,26.1741,Number Of Complaints Filed During The Year - Working Conditions Complaints Member,24.5025,High Confidence,Number Of Complaints Pending Resolution At The End Of Year - Working Conditions Complaints Member
Q57,What is the turnover rate for permanent workers for the Current Year,Retention Rates Permanent Workers That Took Parental Leave - Male Member,19.1079,Retention Rates Permanent Workers That Took Parental Leave - Male Member,19.1079,Retention Rates Permanent Workers That Took Parental Leave - Gender Member,19.1079,Retention Rates Permanent Workers That Took Parental Leave - Female Member,19.1079,Ambiguous,Retention Rates Permanent Workers That Took Parental Leave - Male Member
Q58,What is the turnover rate for permanent employees for the Current Year,Retention Rates Permanent Employees That Took Parental Leave - Male Member,19.076,Retention Rates Permanent Employees That Took Parental Leave - Female Member,19.076,Retention Rates Permanent Employees That Took Parental Leave - Male Member,19.076,Retention Rates Permanent Employees That Took Parental Leave - Gender Member,19.076,Ambiguous,Retention Rates Permanent Employees That Took Parental Leave - Male Member
Q59,What is the percentage of cost incurred as a % of total revenue of the company with regards to spending on measures towards wellbeing of employees and workers?,Percentage Of Cost Incurred On Well Being Measures With Respect To Total Revenue Of The Company,55.3509,Percentage Of Cost Incurred On Well Being Measures With Respect To Total Revenue Of The Company,55.3509,Percentage Of Cost Incurred On Well Being Measures With Respect To Total Revenue Of The Company - Previous Year,52.2505,Amount Of Cost Incurred On Well Being Measures,38.5188,High Confidence,Percentage Of Cost Incurred On Well Being Measures With Respect To Total Revenue Of The Company
Q60,Percentage of workers or employees in association(s) or unions recognised by the listed entity,Remarks For Assurance Of Membership Of Employees And Worker In Associations Or Unions Recognised By The Listed Entity,30.1769,Remarks For Assurance Of Membership Of Employees And Worker In Associations Or Unions Recognised By The Listed Entity,30.1769,Assurance Sub Type For Membership Of Employees And Worker In Associations Or Unions Recognised By The Listed Entity,29.5335,Whether Membership Of Employees And Worker In Associations Or Unions Recognised By The Listed Entity Is Assured By Assurer,29.4867,Ambiguous,Remarks For Assurance Of Membership Of Employees And Worker In Associations Or Unions Recognised By The Listed Entity
Q61,What is the number of complaints filed by the customers as a % of revenue in Current Year?,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Customers Member,21.9063,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Customers Member,21.9063,Number Of Complaints Filed During The Year - Health Safety Complaints Member,18.4837,Number Of Complaints Filed During The Year - Working Conditions Complaints Member,18.4837,High Confidence,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Customers Member
