question_id,question_text,data_type,primary_source,extraction_target,verification_status,final_bm25_score
Q15,What is the water intensity per rupee of turnover adjusted for Purchasing Power Parity in crores Current Year (in kilolitres) - PPP?,numeric,BRSR,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,Locked (BRSR: High Confidence),46.6543
Q16,What is the energy intensity turnover for the current year?,numeric,BRSR,Energy Intensity The Relevant Metric May Be Selected By The Entity,Locked (BRSR: High Confidence),17.8605
Q17,Percentage of energy consumed from renewable sources?,numeric,BRSR,Total Energy Consumed From Renewable Sources,Locked (BRSR: High Confidence),32.9606
Q18,What is the energy intensity in terms of physical output?,numeric,BRSR,Energy Intensity In Term Of Physical Output,Locked (BRSR: High Confidence),42.9809
Q19,What is the energy intensity adjusted for Purchasing Power Parity for Current Year?,numeric,BRSR,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,Locked (BRSR: High Confidence),34.8178
Q20,What is the waste intensity adjusted for Purchasing Power Parity for Current Year?,numeric,BRSR,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,Locked (BRSR: High Confidence),33.8807
Q21,How much was the hazardous waste for the current year (in metric tonnes)?,numeric,BRSR,Total Waste Recovered,Locked (BRSR: High Confidence),16.9181
Q22,What is the waste recycled/recovered intensity for the current year?,numeric,BRSR,Waste Recovered Through Recycled,Locked (BRSR: High Confidence),23.3311
Q23,Percentage of recycled or reused input material used in production (for manufacturing industry) or providing services (for service industry),numeric,BRSR,Remarks For Assurance Of Details Of Percentage Of Recycled Or Reused Input Material To Total Material By Value Used In Production Or Providing Services,Locked (BRSR: Ambiguous),39.1277
Q24,What was the total waste intensity (current year) (Unit: Metric Tonne) - Physical Output?,numeric,BRSR,Waste Intensity In Term Of Physical Output,Locked (BRSR: High Confidence),30.8291
Q25,What is the waste intensity adjusted for Purchasing Power Parity for the current year?,numeric,BRSR,Waste Intensity The Relevant Metric May Be Selected By The Entity,Locked (BRSR: High Confidence),16.9233
Q26,Turnover of products and/or services as a percentage of turnover from all products/service that carry information about the safe and responsible usage?,numeric,BRSR,Remarks For Assurance Of Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,Locked (BRSR: Ambiguous),45.7362
Q27,What is the clinker factor ratio?,numeric,Annual_Report,Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are,Verified (Annual Report Fallback),7.9057
Q28,What is fly ash % utilisation in current year?,numeric,BRSR,It Is Planned To Be Done In The Next Financial Year - Principle2 Member,Unverified - Needs Manual Review,12.2885
Q29,Is the company investing in new generation aircraft fleet? Has the number increased as compared to previous year?,numeric,BRSR,Percentage Of Investments In Related Parties In Total Investments - Previous Year,Locked (BRSR: High Confidence),17.2139
Q30,"What percentage of the total virgin raw material does the company produced and/or purchased covered by FSC, PEFC and/or SFI certification?",numeric,BRSR,What Percentage Of Total Procurement By Value Does It Constitute,Locked (BRSR: High Confidence),20.3383
Q31,Total Lost time incident rate (LTIR)_Workers?,numeric,BRSR,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member,Locked (BRSR: High Confidence),25.8837
Q32,Total Lost time incident rate (LTIR)_Employees?,numeric,BRSR,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member,Locked (BRSR: High Confidence),25.855
Q33,Total recordable work related injuries for employees as a % of the total employees in the company,numeric,BRSR,Total Recordable Work Related Injuries - Employees Member,Locked (BRSR: High Confidence),35.582
Q34,Total recordable work related injuries for workers as a % of the total workers in the company,numeric,BRSR,Total Recordable Work Related Injuries - Workers Member,Locked (BRSR: High Confidence),35.6178
Q35,Fatalities of employees,numeric,BRSR,Number Of Fatalities - Employees Member,Locked (BRSR: High Confidence),14.5458
Q36,Fatalities of workers,numeric,BRSR,Number Of Fatalities - Workers Member,Locked (BRSR: High Confidence),14.5849
Q37,Count of high consquence work related injury or ill health of employees (excluding fatalities),numeric,BRSR,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,Locked (BRSR: High Confidence),54.0174
Q38,Count of high consquence work related injury or ill health of (excluding fatalities),numeric,BRSR,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member,Locked (BRSR: Ambiguous),51.6084
Q39,Percentage of plants and offices that were assessed (by entity or statutory authorities or third parties) with respect to health and safety practices?,numeric,BRSR,Percentage Of Health And Safety Practices Of Your Plants And Offices That Were Assessed P3,Locked (BRSR: High Confidence),42.2978
Q40,Provide percentage of total employees covered under health and safety measures training,numeric,BRSR,Percentage Of Trained Employees Or Workers - Male Member - On Health And Safety Measures Member - Employees Member,Locked (BRSR: Ambiguous),20.552
Q41,Percentage of total permanent employees covered by health insurance,numeric,BRSR,Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Permanent Employees Member,Locked (BRSR: Ambiguous),18.2135
Q42,Percentage of total other than permanent employees covered by health insurance,numeric,BRSR,Percentage Of Well Being Of Employees Or Workers - Other Gender Member - Health Insurance Member - Other Than Permanent Employees Member,Locked (BRSR: Ambiguous),22.7048
Q43,Percentage of total permanent workers covered by health insurance,numeric,Annual_Report,Percentage Of Shares Held By Insurance Companies,Verified (Annual Report Fallback),8.3054
Q44,Percentage of total other than permanent workers covered by health insurance,numeric,Annual_Report,Percentage Of Shares Held By Insurance Companies,Verified (Annual Report Fallback),8.3054
Q45,Percentage of total permanent employees covered by accident insurance,numeric,BRSR,Percentage Of Well Being Of Employees Or Workers - Male Member - Accident Insurance Member - Permanent Employees Member,Locked (BRSR: Ambiguous),19.1348
Q46,What is the percentage of female employees in the workforce,numeric,BRSR,Return To Work Rate Permanent Employees That Took Parental Leave - Female Member,Unverified - Needs Manual Review,12.2362
Q47,What is the turnover rate for permanent female employees in the Current Year,numeric,BRSR,Retention Rates Permanent Employees That Took Parental Leave - Female Member,Locked (BRSR: Ambiguous),23.4421
Q48,What is the turnover rate for permanent female worker in the Current Year,numeric,BRSR,Retention Rates Permanent Workers That Took Parental Leave - Female Member,Locked (BRSR: Ambiguous),23.474
Q49,Pay parity between male and female employees,numeric,Annual_Report,Commission Employees,Verified (Annual Report Fallback),6.9484
Q50,Number of complaints on PSH as a % of female employees/workers for current year,numeric,BRSR,Average Number Of Female Employees Or Workers At The Beginning Of The Year And As At End Of The Year,Locked (BRSR: Ambiguous),16.6422
Q51,What is the gross wages paid to females as percentage of wages paid,numeric,BRSR,Percentage Of Gross Wages Paid To Female To Total Wages Paid,Locked (BRSR: High Confidence),31.9788
Q52,How many complaints were filed on discrimination at workplace in current year?,numeric,BRSR,Number Of Complaints Filed During The Year - Discrimination At Work Place Member,Locked (BRSR: High Confidence),31.1603
Q53,How many complaints were filed by employees and workers or employees as a % of number of employees in the current year,numeric,BRSR,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Employees And Workers Member,Locked (BRSR: High Confidence),19.7927
Q54,What is the number of pending/unresolved employees and workers grievances as % of total complaints filed in the current year,numeric,BRSR,Number Of Complaints Pending From Stake Holder Group Resolution At The End Of Year - Complaint Received From Employees And Workers Member,Locked (BRSR: High Confidence),18.7871
Q55,How many complaints were filed on wages in the current year,numeric,BRSR,Number Of Complaints Filed During The Year - Wages Member,Locked (BRSR: High Confidence),18.3034
Q56,Pending resolution of complaints as a % of total complaints filed by employees and workers pertaining to working conditions,numeric,BRSR,Number Of Complaints Pending Resolution At The End Of Year - Working Conditions Complaints Member,Locked (BRSR: High Confidence),27.7168
Q57,What is the turnover rate for permanent workers for the Current Year,numeric,BRSR,Retention Rates Permanent Workers That Took Parental Leave - Male Member,Locked (BRSR: Ambiguous),19.1079
Q58,What is the turnover rate for permanent employees for the Current Year,numeric,BRSR,Retention Rates Permanent Employees That Took Parental Leave - Male Member,Locked (BRSR: Ambiguous),19.076
Q59,What is the percentage of cost incurred as a % of total revenue of the company with regards to spending on measures towards wellbeing of employees and workers?,numeric,BRSR,Percentage Of Cost Incurred On Well Being Measures With Respect To Total Revenue Of The Company,Locked (BRSR: High Confidence),55.3509
Q60,Percentage of workers or employees in association(s) or unions recognised by the listed entity,numeric,BRSR,Remarks For Assurance Of Membership Of Employees And Worker In Associations Or Unions Recognised By The Listed Entity,Locked (BRSR: Ambiguous),30.1769
Q61,What is the number of complaints filed by the customers as a % of revenue in Current Year?,numeric,BRSR,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Customers Member,Locked (BRSR: High Confidence),21.9063
Q62,Total instances of product recalls,numeric,BRSR,Remarks For Assurance Of Details Of Instances Of Product Recalls On Account Of Safety Issues,Locked (BRSR: Ambiguous),18.6717
Q63,% of value chain partners (by value of business done with such partners) that were assessed for Health and Safety practices?,numeric,BRSR,Percentage Of Value Chain Partners By Value Of Business Done With Such Partners That Were Assessed For Environmental Impacts,Locked (BRSR: High Confidence),47.4899
Q64,What is the purchases from trading houses % of total purchases,numeric,BRSR,Percentage Of Purchases From Top Ten Trading Houses In Total Purchases From Trading Houses - Previous Year,Locked (BRSR: High Confidence),31.3332
Q65,What is purchases from top 10 trading houses as % of total purchases from trading houses,numeric,BRSR,Percentage Of Purchases From Top Ten Trading Houses In Total Purchases From Trading Houses,Locked (BRSR: High Confidence),45.8334
Q66,Number of complaints filed by community stakeholders,numeric,BRSR,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Communities Member,Locked (BRSR: High Confidence),19.0975
Q67,Count of pending/unresolved communities grievances,numeric,BRSR,Remarks For Assurance Of Describe The Mechanisms To Receive And Redress Grievances Of The Community,Unverified - Needs Manual Review,12.8452
Q68,Percentage of CSR obligation spent (CSR spent/CSR obligation),numeric,BRSR,Percentage Of Total Turnover For Business Activities - Details Of Business Activities Accounting For Ninety Percent Of The Turnover Domain1,Unverified - Needs Manual Review,7.381
Q69,What is the input material directly sourced from MSMEs/small producers (in % terms - As % of total purchases by value),numeric,BRSR,Percentage Of Directly Sourced From MSMEs Or Small Producers,Locked (BRSR: High Confidence),54.1274
Q70,Percentage of capital expenditure investments in specific technologies to improve the environmental and social impacts of products and processes to total capex,numeric,BRSR,Remarks For Assurance Of Percentage Of RAnd DAnd Capital Expenditure Investments In Specific Technologies,Locked (BRSR: Ambiguous),37.508
Q71,What is the input material sourced directly from within India as % of total purchases,numeric,BRSR,Percentage Of Sourced Directly From Within The District And Neighbouring Districts,Locked (BRSR: High Confidence),29.9092
Q72,What is the % of job creation in smaller towns - wages paid to persons employed in smaller towns (permanent or non-permanent / on contract) as % of total wage cost,numeric,BRSR,Whether Job Creation In Smaller Towns Disclose Wages Paid To Persons Employed Including Employees Or Workers Employed On APermanent Or Non Permanent Or On Contract Basis Is Assured By Assurer,Locked (BRSR: Ambiguous),54.0281
Q73,What are the number of days of account payable?,numeric,BRSR,Number Of Days Of Accounts Payable,Locked (BRSR: High Confidence),30.9792
Q74,What is the sales to dealers/distributors as % of total sales,numeric,BRSR,Percentage Of Sales To Dealers Or Distributors In Total Sales,Locked (BRSR: High Confidence),31.1434
Q75,What is the sales to top 10 dealers/distributors as % of total sales to dealers/distributors,numeric,BRSR,Percentage Of Sales To Top Ten Dealers Or Distributors In Total Sales To Dealers Or Distributors,Locked (BRSR: High Confidence),44.4805
Q76,% of data breaches involving PII data of customers,numeric,BRSR,Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers,Locked (BRSR: High Confidence),38.0343
Q77,Share of buildings that are certified according to international building standards/GRESB/IGBC,numeric,Annual_Report,Repairs To Building,Verified (Annual Report Fallback),10.9139
Q78,Percentage of independent directors on the board,numeric,BRSR,Percentage Of Female Board Of Directors,Locked (BRSR: Ambiguous),18.661
Q79,Number of independent women directors on the board,numeric,BRSR,Number Of Female Board Of Directors,Locked (BRSR: High Confidence),23.9875
Q80,Number of women directors on the board,numeric,BRSR,Number Of Board Of Directors For Remuneration Or Salary Or Wages - Female Member,Locked (BRSR: High Confidence),18.6361
Q81,Average attendance for board meeting in the current FY,numeric,BRSR,Assurance Sub Type For Whether The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues,Locked (BRSR: Ambiguous),14.7723
Q82,Number of directorships of all board members,numeric,BRSR,Total Number Of Training And Awareness Programs Held - Board Of Directors Segment Member,Locked (BRSR: Ambiguous),16.5126
Q83,Number of directors against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption,numeric,BRSR,Remarks For Assurance Of Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption,Locked (BRSR: Ambiguous),51.8548
Q84,Number of complaints received in relation to issues of conflict of interest of the directors/KMPs,numeric,BRSR,Number Of Complaints Received In Relation To Issues Of Conflict Of Interest Of The KMPs,Locked (BRSR: High Confidence),49.8668
Q85,Percentage of independent directors in nomination and remuneration committee,numeric,BRSR,Median Of Remuneration Or Salary Or Wages Of Board Of Directors - Male Member,Locked (BRSR: Ambiguous),17.9563
Q86,Percentage of independent directors in audit committee,numeric,Annual_Report,Disclosure Of Composition Of Audit Committee And Non Acceptance Of Any Recommendation Of Audit Committee Along With Reasons Explanatory,Verified (Annual Report Fallback),8.5732
Q87,Number of independent directors in risk management committee,numeric,Annual_Report,Reappointment Of Independent Directors As Per Section 14910 Explanatory,Verified (Annual Report Fallback),7.9453
Q88,Number of independent directors in CSR committee,numeric,Annual_Report,Disclosure Of Composition Of CSR Committee Text Block,Verified (Annual Report Fallback),16.6008
Q89,Percentage of subject matter experts appointed in the Audit Committee,numeric,Annual_Report,Disclosure Of Composition Of Audit Committee And Non Acceptance Of Any Recommendation Of Audit Committee Along With Reasons Explanatory,Verified (Annual Report Fallback),8.5732
Q90,Ratio of remuneration of MD/CEO to median remuneration of employees,numeric,BRSR,Remarks For Assurance Of Details Of Median Of Remuneration Or Salary Or Wages And Wages Paid To Female,Locked (BRSR: Ambiguous),19.4455
Q91,Percentage of non audit fees as compared to total audit fees,numeric,Annual_Report,Custodial Fees,Verified (Annual Report Fallback),18.1946
Q92,Number of whistle blower complaints filed in the current year,numeric,BRSR,Number Of Complaints Filed During The Year - Working Conditions Complaints Member,Locked (BRSR: Ambiguous),18.4837
Q93,Number of pending consumer compliant on unfair trade practices,numeric,BRSR,Consumer Complaints Pending Resolution At End Of Year - Unfair Trade Practices Member,Locked (BRSR: High Confidence),31.9825
Q94,Number of employees against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption,numeric,BRSR,Assurance Sub Type For Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption,Locked (BRSR: Ambiguous),49.3485
Q95,Number of workers against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption,numeric,BRSR,Number Of Workers Against Whom Disciplinary Action Was Taken,Locked (BRSR: High Confidence),41.0761
Q96,What is the share of RPTs (as respective %age) in purchases,numeric,BRSR,Percentage Of Purchases From Related Parties In Total Purchases For Share Of Related Party Transactions - Previous Year,Locked (BRSR: Ambiguous),14.0331
Q97,What is the share of RPTs (as respective %age) in sales,numeric,BRSR,Percentage Of Sales To Related Parties In Total Sales For Share Of Related Party Transactions,Locked (BRSR: Ambiguous),14.9543
Q98,What is the share of RPTs (as respective %age) in loans and advances,numeric,BRSR,Percentage Of Loans And Advances Given To Related Parties In Total Loans And Advances,Locked (BRSR: High Confidence),23.6224
Q99,What is the share of RPTs (as respective %age) in investments,numeric,BRSR,Number Of Employees Covered As Percentage Of Total Employees - Provident Fund Member,Locked (BRSR: Ambiguous),13.8572
Q100,Are there any initiatives towards reduction in GHG emissions,numeric,BRSR,Total Scope2 Emissions,Locked (BRSR: Ambiguous),18.5143
Q101,What are the VOC/POP/HAP emissions for the current year (Unit: Metric Tonne),numeric,BRSR,Water Intensity The Relevant Metric May Be Selected By The Entity,Locked (BRSR: High Confidence),13.5643
Q102,"What are the initiatives taken to reduce the NOx, SOx, PM, VOC, HAP and POP air emissions",numeric,BRSR,NOx - Previous Year,Locked (BRSR: Ambiguous),22.9793
Q103,Does the company have facilities/operations in water stress regions,numeric,BRSR,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,Locked (BRSR: Ambiguous),23.385
Q104,Has the entity implemented mechanism for Zero Liquid Discharge,numeric,BRSR,Has The Entity Implemented AMechanism For Zero Liquid Discharge,Locked (BRSR: High Confidence),42.7792
Q105,Does the company monitor Chemical Oxygen Demand during water discharge,numeric,Annual_Report,Cost Water Charges,Verified (Annual Report Fallback),8.9314
Q106,Third party verification of water data,numeric,BRSR,Water Withdrawal By Third Party Water,Locked (BRSR: High Confidence),21.6985
Q107,What are the goals/targets/commitments towards Energy consumption,numeric,BRSR,Total Electricity Consumption From Renewable Sources,Locked (BRSR: Ambiguous),23.1931
Q108,"Does the entity have any sites/facilities identified as designated consumers under the Performance, Achieve and Tade Scheme of the Government of India? (Y/N) If yes, disclose whether targets set under the PAT scheme have been achieved in case targets have not been achieved, provide the remedial action taken, if any",numeric,BRSR,Disclose Whether Targets Set Under The Pat Scheme Have Been Achieved In Case Targets Have Not Been Achieved Then Provide The Remedial Action Taken Explanatory Text Block,Locked (BRSR: High Confidence),74.9652
Q109,Is there a disclosure regarding the energy management system? ISO 50001 Certification,numeric,BRSR,Disclosure Web Link Of Entity At Which Business Continuity And Disaster Management Plan Is Placed,Locked (BRSR: High Confidence),20.4687
Q110,Waste management practices and strategies to reduce usage of hazardous and toxic chemicals from the products and processes,numeric,BRSR,Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals Explanatory Text Block,Locked (BRSR: Ambiguous),46.8397
Q111,"What are the processes to safely reclaim the products for reusing, recycling and disposing at the end of life for, (a) Plastics (including packaging) (b)e-waste (c) hazardous waste and (d) other waste?",numeric,BRSR,Remarks For Assurance Of Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Plastics Including Packaging EWaste Hazardous Waste And Other Waste,Locked (BRSR: Ambiguous),62.4718
Q112,"Whether Extended Producer Responsibility (EPR) is applicable to entity’s activities (Y/N). If yes, whether the waste collection plan is in line with the Extended Producer Responsibility plan submitteed to Pollution Control Boards",numeric,BRSR,Whether The Waste Collection Plan Is In Line With The Extended Producer Responsibility Plan Submitted To Pollution Control Boards,Locked (BRSR: High Confidence),66.4949
Q113,Third party verification of waste data,numeric,BRSR,Waste Recovered Through Recycled - Previous Year,Locked (BRSR: High Confidence),21.3328
Q114,Is there presence of offices/manufacturing facilities in ecologically sensitive areas,numeric,BRSR,Whether Details Of Operations Or Offices In Or Around Ecologically Sensitive Areas Where Environmental Approvals Or Clearances Are Required Is Assured By Assurer,Locked (BRSR: High Confidence),22.0629
Q115,Provide details of significant direct and indirect impact of the entity on biodiversity in ecological sensitive areas along with prevention and remediation activities,numeric,BRSR,Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities Explanatory Text Block,Locked (BRSR: Ambiguous),58.8265
Q116,Does the company have an Environment or a Biodiversity policy,numeric,BRSR,Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016,Locked (BRSR: High Confidence),22.3129
Q117,Does the company’s policy on Biodiversity extend to its value chain partners (Y/N),numeric,BRSR,Do The Enlisted Policies Extend To Your Value Chain Partners - Principle7 Member,Locked (BRSR: High Confidence),28.9489
Q118,Does the company take initiatives with regards to its Biodiversity conservation/land rehabilitation and biodiversity restoration,numeric,BRSR,Percentage Of Cost Incurred On Well Being Measures With Respect To Total Revenue Of The Company - Previous Year,Locked (BRSR: Ambiguous),15.4837
Q119,Are there any goals/targets/commitments set towards carbon neutrality/ Net Zero,numeric,BRSR,Specific Commitments Goals And Targets Set By The Entity With Defined Timelines Explanatory Text Block - Principle6 Member,Locked (BRSR: High Confidence),24.2931
Q120,Does the organisation report on CDP Disclosure as per Climate Change Module,numeric,BRSR,Type Of Assurance For Section AGeneral Disclosures,Locked (BRSR: High Confidence),14.3782
Q121,"Does the company perform climate related scenario analysis (based on TCFD framework); Based on the climate risk assessment, has the company set up a plan to adapt to the identified physical climate risks",numeric,BRSR,Assurer Has Assured Whether The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,Locked (BRSR: Ambiguous),23.6786
Q122,Presence of ISO 14001:2015 certifications,numeric,Annual_Report,ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data,Verified (Annual Report Fallback),10.1836
Q123,Does the entity implement carbon pricing mechanism/model?,numeric,Annual_Report,Description Of Other Inputs To Options Pricing Model Share Options Granted,Verified (Annual Report Fallback),8.0775
Q124,Does the company have a policy on environmental management and is it available publicly,numeric,BRSR,Whether Information Available In Public Domain - Public Policy1,Locked (BRSR: Ambiguous),22.8163
Q125,"Is the entity compliant with the appliacble environmental law/regulations/guidelines for India; such as the Water (Prevention and Control of Pollution) Act, AIr (Prevention and Control of Pollution) Act, Environmental protection act and rules thereunder (Y/N). If not, provide details of all such non compliances",numeric,BRSR,Provide Details Of The Non Compliance - Law Or Regulation Or Guidelines7,Locked (BRSR: High Confidence),41.0119
Q126,Does the company have a strategy for climate change adaptation and mitigation,numeric,BRSR,Remarks For Assurance Of Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard,Locked (BRSR: High Confidence),15.8428
Q127,Discussion of the integration of environmental considerations into strategic planning for data centre needs,numeric,BRSR,Assurance Sub Type For Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers,Locked (BRSR: Ambiguous),16.5034
Q128,"Are there any social or environmental concerns and/or risks arising from production or disposal of products, as identified in the Life Cycle Perspective/Assessments",numeric,BRSR,Remarks For Assurance Of Details Of Significant Social Or Environmental Concerns From Production Or Disposal Of Product Or Service With Action Taken To Mitigate The Same,Locked (BRSR: Ambiguous),25.4521
Q129,"Has the company taken initiatives to use reusable, recyclable or compostable packagin",numeric,BRSR,Assurance Sub Type For Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services,Unverified - Needs Manual Review,10.3517
Q130,What are the intiatives taken to reduce plastic packaging,numeric,BRSR,Amount Of Recycled - Plastics Including Packaging Member,Locked (BRSR: Ambiguous),15.4957
Q131,Turnover of products and/or services as a percentage of turover from all products/service that carry information about the recycling and/or safe disposal,numeric,BRSR,Assurance Sub Type For Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,Locked (BRSR: Ambiguous),44.4692
Q132,Does your company have a publicly available no deforestation policy or commitment that applies to your company’s operational practices,numeric,BRSR,Whether Information Available In Public Domain - Public Policy2,Locked (BRSR: Ambiguous),16.8742
Q133,Does the company owns/lease/manages forest land for its operations,numeric,Annual_Report,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,Verified (Annual Report Fallback),8.4809
Q134,Are there any intiatives taken with respect to sustainable agriclutire by the company,numeric,BRSR,Whether Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard Is Assured By Assurer,Locked (BRSR: High Confidence),13.8904
Q135,Is the manufacturing smart farm equipments/machinery,numeric,Annual_Report,Repairs To Machinery,Verified (Annual Report Fallback),8.5726
Q136,"Is the company exposed to animal products and are these certified or accredited by one or more independent third party? If yes, does the company demand or monitor such certification or accreditation from its suppliers?",numeric,BRSR,Whether APreferential Procurement Policy Where Preference To Purchase From Suppliers Comprising Marginalized Or Vulnerable Groups And Its Percentage Of Total Procurement By Value Does It Constitute Is Assured By Assurer,Locked (BRSR: Ambiguous),19.7211
Q137,What are the initiatives taken with respect to Chemical Sagety management,numeric,BRSR,Assurance Sub Type For Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard,Unverified - Needs Manual Review,12.9763
Q138,Does the company have waste heat recovery systems for enchancing energy efficiency (Cement),numeric,BRSR,Waste Recovered Through Other Recovery Operations,Locked (BRSR: High Confidence),25.6475
Q139,"Is the forestland certified as per international sustainable forest management standards such as FSC, PEFC, SFI",numeric,Annual_Report,Profit Loss For The Period As Per Ind As,Verified (Annual Report Fallback),10.246
Q140,What measures are taken to reduce marine pollution and manage ballast water,numeric,Annual_Report,Cost Water Charges,Verified (Annual Report Fallback),8.9314
Q141,Does the company comply with new regilation of Energy Efficiency Existing Ship (require al ships above 400GT),numeric,BRSR,Remarks For Assurance Of Performance Against Above Policies And Follow Up Action,Locked (BRSR: Ambiguous),18.4373
