question,kalman_fused_match,fused_score,mha_score_raw,bm25_score_norm,kalman_gain,p_value,verification_status,alt_match_1,alt_fused_score_1
Turnover of products and/or services as a percentage of turnover from all products/service that carry information about the safe and responsible usage?,Remarks For Assurance Of Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,1.0,0.7751,1.0,0.0,0.0,Kalman Verified (High),Assurance Sub Type For Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,0.9964
What is the clinker factor ratio?,Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are,1.0,0.3198,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,0.7069
What is fly ash % utilisation in current year?,Amount Provided In Current Year,1.0,0.3772,1.0,0.0,0.0,Kalman Verified (High),Current Tax Pertaining To Current Year,0.9166
Is the company investing in new generation aircraft fleet? Has the number increased as compared to previous year?,Number Of Employees In The Company At The End Of The Financial Year,1.0,0.4035,1.0,0.0,0.0,Kalman Verified (High),Average Number Of Female Employees Or Workers At The Beginning Of The Year And As At End Of The Year - Previous Year,0.9824
"What percentage of the total virgin raw material does the company produced and/or purchased covered by FSC, PEFC and/or SFI certification?",What Percentage Of Total Procurement By Value Does It Constitute,1.0,0.3788,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,0.7148
Total Lost time incident rate (LTIR)_Workers?,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member,1.0,0.6469,1.0,0.0,0.0,Kalman Verified (High),Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member - Previous Year,0.932
Total Lost time incident rate (LTIR)_Employees?,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member,1.0,0.648,1.0,0.0,0.0,Kalman Verified (High),Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member - Previous Year,0.932
Total recordable work related injuries for employees as a % of the total employees in the company,Total Recordable Work Related Injuries - Employees Member,1.0,0.8968,1.0,0.0,0.0,Kalman Verified (High),Total Recordable Work Related Injuries - Employees Member - Previous Year,0.9146
Total recordable work related injuries for workers as a % of the total workers in the company,Total Recordable Work Related Injuries - Workers Member,1.0,0.8884,1.0,0.0,0.0,Kalman Verified (High),Total Recordable Work Related Injuries - Workers Member - Previous Year,0.9146
Fatalities of employees,Number Of Fatalities - Employees Member,1.0,0.8699,1.0,0.0,0.0,Kalman Verified (High),Number Of Fatalities - Employees Member - Previous Year,0.9066
Fatalities of workers,Number Of Fatalities - Workers Member,1.0,0.8646,1.0,0.0,0.0,Kalman Verified (High),Number Of Fatalities - Workers Member - Previous Year,0.9066
Count of high consquence work related injury or ill health of employees (excluding fatalities),High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,1.0,0.8381,1.0,0.0,0.0,Kalman Verified (High),High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member,0.9504
Count of high consquence work related injury or ill health of (excluding fatalities),High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member,1.0,0.8164,1.0,0.0,0.0,Kalman Verified (High),High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,1.0
Percentage of plants and offices that were assessed (by entity or statutory authorities or third parties) with respect to health and safety practices?,Percentage Of Health And Safety Practices Of Your Plants And Offices That Were Assessed P3,1.0,0.8059,1.0,0.0,0.0,Kalman Verified (High),Percentage Of Wages Of Your Plants And Offices That Were Assessed P5,0.7129
Provide percentage of total employees covered under health and safety measures training,Percentage Of Trained Employees Or Workers - Male Member - On Health And Safety Measures Member - Employees Member,1.0,0.7924,1.0,0.0,0.0,Kalman Verified (High),Percentage Of Trained Employees Or Workers - Female Member - On Health And Safety Measures Member - Employees Member,1.0
Percentage of total permanent employees covered by health insurance,Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Permanent Employees Member,1.0,0.6285,1.0,0.0,0.0,Kalman Verified (High),Percentage Of Well Being Of Employees Or Workers - Female Member - Health Insurance Member - Permanent Employees Member,1.0
Percentage of total other than permanent employees covered by health insurance,Percentage Of Well Being Of Employees Or Workers - Other Gender Member - Health Insurance Member - Other Than Permanent Employees Member,1.0,0.6448,1.0,0.0,0.0,Kalman Verified (High),Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Other Than Permanent Employees Member,0.9849
Percentage of total permanent workers covered by health insurance,Percentage Of Well Being Of Employees Or Workers - Female Member - Health Insurance Member - Permanent Workers Member,1.0,0.6167,1.0,0.0,0.0,Kalman Verified (High),Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Permanent Workers Member,1.0
Percentage of total other than permanent workers covered by health insurance,Percentage Of Well Being Of Employees Or Workers - Other Gender Member - Health Insurance Member - Other Than Permanent Workers Member,1.0,0.6368,1.0,0.0,0.0,Kalman Verified (High),Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Other Than Permanent Workers Member,0.9851
Percentage of total permanent employees covered by accident insurance,Percentage Of Well Being Of Employees Or Workers - Female Member - Accident Insurance Member - Permanent Employees Member,1.0,0.6784,1.0,0.0,0.0,Kalman Verified (High),Percentage Of Well Being Of Employees Or Workers - Male Member - Accident Insurance Member - Permanent Employees Member,1.0
What is the percentage of female employees in the workforce,Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,1.0,0.0105,1.0,0.0,0.0,Kalman Verified (High),Percentage Of Differently Abled Employees Or Workers - Female Member - Employees Member,0.9256
What is the turnover rate for permanent female employees in the Current Year,Turnover Rate - Female Member - Permanent Employees Member - Previous Year,1.0,0.8971,1.0,0.0,0.0,Kalman Verified (High),Turnover Rate - Female Member - Permanent Employees Member,0.9699
What is the turnover rate for permanent female worker in the Current Year,Turnover Rate - Female Member - Permanent Workers Member - Previous Year,1.0,0.8716,1.0,0.0,0.0,Kalman Verified (High),Turnover Rate - Female Member - Permanent Employees Member - Previous Year,1.0
Pay parity between male and female employees,Number Of Trained Employees Or Workers - Male Member - Total Employees And Workers Member - Employees Member,1.0,0.4533,1.0,0.0,0.0,Kalman Verified (High),Number Of Trained Employees Or Workers - Female Member - Total Employees And Workers Member - Employees Member,0.9913
Number of complaints on PSH as a % of female employees/workers for current year,Number Of Female Employees Or Workers - Previous Year,1.0,0.669,1.0,0.0,0.0,Kalman Verified (High),Number Of Trained Employees Or Workers - Female Member - On Skill Upgradation Member - Workers Member - Previous Year,0.9492
What is the gross wages paid to females as percentage of wages paid,Percentage Of Gross Wages Paid To Female To Total Wages Paid,1.0,0.9584,1.0,0.0,0.0,Kalman Verified (High),Percentage Of Gross Wages Paid To Female To Total Wages Paid - Previous Year,0.9422
How many complaints were filed on discrimination at workplace in current year?,Number Of Complaints Filed During The Year - Discrimination At Work Place Member,1.0,0.8716,1.0,0.0,0.0,Kalman Verified (High),Number Of Complaints Filed During The Year - Discrimination At Work Place Member - Previous Year,0.9746
How many complaints were filed by employees and workers or employees as a % of number of employees in the current year,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Employees And Workers Member,1.0,0.71,1.0,0.0,0.0,Kalman Verified (High),Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Employees And Workers Member - Previous Year,0.9838
What is the number of pending/unresolved employees and workers grievances as % of total complaints filed in the current year,Number Of Complaints Filed During The Year - Working Conditions Complaints Member,1.0,0.7487,1.0,0.0,0.0,Kalman Verified (High),Number Of Complaints Filed During The Year - Health Safety Complaints Member,1.0
How many complaints were filed on wages in the current year,Number Of Complaints Filed During The Year - Wages Member,1.0,0.8627,1.0,0.0,0.0,Kalman Verified (High),Number Of Complaints Filed During The Year - Wages Member - Previous Year,0.9736
Pending resolution of complaints as a % of total complaints filed by employees and workers pertaining to working conditions,Number Of Complaints Pending Resolution At The End Of Year - Working Conditions Complaints Member,1.0,0.8538,1.0,0.0,0.0,Kalman Verified (High),Number Of Complaints Pending Resolution At The End Of Year - Working Conditions Complaints Member - Previous Year,0.9406
What is the turnover rate for permanent workers for the Current Year,Turnover Rate - Male Member - Permanent Workers Member - Previous Year,1.0,0.7949,1.0,0.0,0.0,Kalman Verified (High),Turnover Rate - Female Member - Permanent Workers Member - Previous Year,1.0
What is the turnover rate for permanent employees for the Current Year,Turnover Rate - Male Member - Permanent Employees Member - Previous Year,1.0,0.8011,1.0,0.0,0.0,Kalman Verified (High),Turnover Rate - Female Member - Permanent Employees Member - Previous Year,1.0
What is the percentage of cost incurred as a % of total revenue of the company with regards to spending on measures towards wellbeing of employees and workers?,Percentage Of Cost Incurred On Well Being Measures With Respect To Total Revenue Of The Company,1.0,0.859,1.0,0.0,0.0,Kalman Verified (High),Percentage Of Cost Incurred On Well Being Measures With Respect To Total Revenue Of The Company - Previous Year,0.939
Percentage of workers or employees in association(s) or unions recognised by the listed entity,Whether Membership Of Employees And Worker In Associations Or Unions Recognised By The Listed Entity Is Assured By Assurer,1.0,0.6731,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Membership Of Employees And Worker In Associations Or Unions Recognised By The Listed Entity,0.998
What is the number of complaints filed by the customers as a % of revenue in Current Year?,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Customers Member,1.0,0.6394,1.0,0.0,0.0,Kalman Verified (High),Number Of Complaints Filed During The Year - Working Conditions Complaints Member,0.9869
Total instances of product recalls,Remarks For Assurance Of Details Of Instances Of Product Recalls On Account Of Safety Issues,1.0,0.838,1.0,0.0,0.0,Kalman Verified (High),Assurance Sub Type For Details Of Instances Of Product Recalls On Account Of Safety Issues,0.9964
% of value chain partners (by value of business done with such partners) that were assessed for Health and Safety practices?,Percentage Of Value Chain Partners By Value Of Business Done With Such Partners That Were Assessed For Environmental Impacts,1.0,0.7942,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Percentage Of Value Chain Partners By Value Of Business Done With Such Partners That Were Assessed For Environmental Impacts,0.9178
What is the purchases from trading houses % of total purchases,Percentage Of Purchases From Top Ten Trading Houses In Total Purchases From Trading Houses,1.0,0.8667,1.0,0.0,0.0,Kalman Verified (High),Percentage Of Purchases From Top Ten Trading Houses In Total Purchases From Trading Houses - Previous Year,0.9497
What is purchases from top 10 trading houses as % of total purchases from trading houses,Percentage Of Purchases From Top Ten Trading Houses In Total Purchases From Trading Houses,1.0,0.9672,1.0,0.0,0.0,Kalman Verified (High),Percentage Of Purchases From Top Ten Trading Houses In Total Purchases From Trading Houses - Previous Year,0.9487
Number of complaints filed by community stakeholders,Number Of Complaints Filed During The Year - Health Safety Complaints Member,1.0,0.6406,1.0,0.0,0.0,Kalman Verified (High),Number Of Complaints Filed During The Year - Working Conditions Complaints Member,1.0
Count of pending/unresolved communities grievances,Number Of Complaints Pending From Stake Holder Group Resolution At The End Of Year - Complaint Received From Communities Member,1.0,0.6059,1.0,0.0,0.0,Kalman Verified (High),Number Of Complaints Pending From Stake Holder Group Resolution At The End Of Year - Complaint Received From Communities Member - Previous Year,0.9441
Percentage of CSR obligation spent (CSR spent/CSR obligation),Amount CSR Spent For Financial Year,1.0,0.7387,1.0,0.0,0.0,Kalman Verified (High),Amount CSR To Be Spent For Financial Year,0.9108
What is the input material directly sourced from MSMEs/small producers (in % terms - As % of total purchases by value),Percentage Of Directly Sourced From MSMEs Or Small Producers,1.0,0.7472,1.0,0.0,0.0,Kalman Verified (High),Percentage Of Directly Sourced From MSMEs Or Small Producers - Previous Year,0.9213
Percentage of capital expenditure investments in specific technologies to improve the environmental and social impacts of products and processes to total capex,Details Of Improvements In Environmental And Social Impacts Due To Capex,1.0,0.7698,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Percentage Of RAnd DAnd Capital Expenditure Investments In Specific Technologies,0.9374
What is the input material sourced directly from within India as % of total purchases,Percentage Of Sourced Directly From Within The District And Neighbouring Districts,1.0,0.4485,1.0,0.0,0.0,Kalman Verified (High),Percentage Of Sourced Directly From Within The District And Neighbouring Districts - Previous Year,0.927
What is the % of job creation in smaller towns - wages paid to persons employed in smaller towns (permanent or non-permanent / on contract) as % of total wage cost,Whether Job Creation In Smaller Towns Disclose Wages Paid To Persons Employed Including Employees Or Workers Employed On APermanent Or Non Permanent Or On Contract Basis Is Assured By Assurer,1.0,0.6322,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Job Creation In Smaller Towns Disclose Wages Paid To Persons Employed Including Employees Or Workers Employed On APermanent Or Non Permanent Or On Contract Basis,0.9959
What are the number of days of account payable?,Number Of Days Of Accounts Payable,1.0,0.9442,1.0,0.0,0.0,Kalman Verified (High),Number Of Days Of Accounts Payable - Previous Year,0.9124
What is the sales to dealers/distributors as % of total sales,Percentage Of Sales To Dealers Or Distributors In Total Sales,1.0,0.9601,1.0,0.0,0.0,Kalman Verified (High),Percentage Of Sales To Top Ten Dealers Or Distributors In Total Sales To Dealers Or Distributors,0.9998
What is the sales to top 10 dealers/distributors as % of total sales to dealers/distributors,Percentage Of Sales To Top Ten Dealers Or Distributors In Total Sales To Dealers Or Distributors,1.0,0.9701,1.0,0.0,0.0,Kalman Verified (High),Percentage Of Sales To Top Ten Dealers Or Distributors In Total Sales To Dealers Or Distributors - Previous Year,0.9513
% of data breaches involving PII data of customers,Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers,1.0,0.7761,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers,0.9301
Share of buildings that are certified according to international building standards/GRESB/IGBC,Repairs To Building,1.0,0.3268,1.0,0.0,0.0,Kalman Verified (High),Number Of Certified Emission Rights Under Certification,0.6472
Percentage of independent directors on the board,Percentage Of Female Board Of Directors,1.0,0.7863,1.0,0.0,0.0,Kalman Verified (High),Directors Signing Board Report Domain,0.8245
Number of independent women directors on the board,Number Of Female Board Of Directors,1.0,0.9083,1.0,0.0,0.0,Kalman Verified (High),Total Number Of Board Of Directors,1.0
Number of women directors on the board,Number Of Female Board Of Directors,1.0,0.9629,1.0,0.0,0.0,Kalman Verified (High),Total Number Of Board Of Directors,1.0
Average attendance for board meeting in the current FY,Date Of Board Of Directors Meeting In Which Board Report Referred To Under Section 134 Was Approved,1.0,0.396,1.0,0.0,0.0,Kalman Verified (High),Date Of Board Meeting When Final Accounts Were Approved,0.9993
Number of directorships of all board members,Number Of Meetings Of Board,1.0,0.6521,1.0,0.0,0.0,Kalman Verified (High),Total Number Of Board Of Directors,0.953
Number of directors against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption,Remarks For Assurance Of Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption,1.0,0.806,1.0,0.0,0.0,Kalman Verified (High),Assurance Sub Type For Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption,0.9963
Number of complaints received in relation to issues of conflict of interest of the directors/KMPs,Number Of Complaints Received In Relation To Issues Of Conflict Of Interest Of The KMPs,1.0,0.9066,1.0,0.0,0.0,Kalman Verified (High),Number Of Complaints Received In Relation To Issues Of Conflict Of Interest Of The Directors,0.9661
Percentage of independent directors in nomination and remuneration committee,Disclosure Of Policy Formulated By Nomination And Remuneration Committee Relating To Remuneration For Directors Key Managerial Personnels And Other Employees Explanatory,1.0,0.618,1.0,0.0,0.0,Kalman Verified (High),Remuneration To Directors,0.7
Percentage of independent directors in audit committee,Disclosure Of Composition Of Audit Committee And Non Acceptance Of Any Recommendation Of Audit Committee Along With Reasons Explanatory,1.0,0.5566,1.0,0.0,0.0,Kalman Verified (High),Directors Comment On Company Secretary Qualification Or Observation Or Other Remarks In Secretarial Audit Report,0.7778
Number of independent directors in risk management committee,Reappointment Of Independent Directors As Per Section 14910 Explanatory,1.0,0.5375,1.0,0.0,0.0,Kalman Verified (High),Number Of Female Key Management Personnel,0.9067
Number of independent directors in CSR committee,Disclosure Of Composition Of CSR Committee Explanatory,1.0,0.7018,1.0,0.0,0.0,Kalman Verified (High),Disclosure Responsibility Statement Of CSR Committee That Implementation And Monitoring Of CSR Policy Is In Compliance With CSR Policy Of Company,0.9617
Percentage of subject matter experts appointed in the Audit Committee,Disclosure Of Composition Of Audit Committee And Non Acceptance Of Any Recommendation Of Audit Committee Along With Reasons Explanatory,1.0,0.4522,1.0,0.0,0.0,Kalman Verified (High),Particulate Matter,0.8893
Ratio of remuneration of MD/CEO to median remuneration of employees,Ratio Of Remuneration Of Director Or Managerial Personnel To Median Of Remuneration Of Employees For Financial Year,1.0,0.807,1.0,0.0,0.0,Kalman Verified (High),Percentage Increase In Median Remuneration Of Employees In Financial Year,0.7115
Percentage of non audit fees as compared to total audit fees,Custodial Fees,1.0,0.3207,1.0,0.0,0.0,Kalman Verified (High),Registration Filing Fees,0.9426
Number of whistle blower complaints filed in the current year,Number Of Complaints Filed During The Year - Working Conditions Complaints Member,1.0,0.5795,1.0,0.0,0.0,Kalman Verified (High),Number Of Complaints Filed During The Year - Health Safety Complaints Member,1.0
Number of pending consumer compliant on unfair trade practices,Consumer Complaints Pending Resolution At End Of Year - Unfair Trade Practices Member,1.0,0.6975,1.0,0.0,0.0,Kalman Verified (High),Remark For Consumer Complaints - Unfair Trade Practices Member,0.9585
Number of employees against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption,Remarks For Assurance Of Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption,1.0,0.7814,1.0,0.0,0.0,Kalman Verified (High),Assurance Sub Type For Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption,0.9962
Number of workers against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption,Remarks For Assurance Of Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption,1.0,0.7612,1.0,0.0,0.0,Kalman Verified (High),Assurance Sub Type For Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption,0.9962
What is the share of RPTs (as respective %age) in purchases,Percentage Of Purchases From Related Parties In Total Purchases For Share Of Related Party Transactions,1.0,0.5129,1.0,0.0,0.0,Kalman Verified (High),Percentage Of Purchases From Related Parties In Total Purchases For Share Of Related Party Transactions - Previous Year,0.9461
What is the share of RPTs (as respective %age) in sales,Percentage Of Sales To Related Parties In Total Sales For Share Of Related Party Transactions,1.0,0.4959,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,0.9582
What is the share of RPTs (as respective %age) in loans and advances,Percentage Of Loans And Advances Given To Related Parties In Total Loans And Advances,1.0,0.6949,1.0,0.0,0.0,Kalman Verified (High),Loans And Advances,0.9974
What is the share of RPTs (as respective %age) in investments,Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,1.0,0.0645,1.0,0.0,0.0,Kalman Verified (High),Details Of Product Information On The Product Over And Above What Is Mandated As Per Local Laws Explanatory Text Block,0.9414
Are there any initiatives towards reduction in GHG emissions,Whether There Are Any Contingent Liabilities,1.0,0.1656,1.0,0.0,0.0,Kalman Verified (High),Whether There Are Any Major Customers,1.0
What are the VOC/POP/HAP emissions for the current year (Unit: Metric Tonne),Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity - Previous Year,1.0,0.5001,1.0,0.0,0.0,Kalman Verified (High),Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,0.9213
"What are the initiatives taken to reduce the NOx, SOx, PM, VOC, HAP and POP air emissions",Whether Details Of Air Emissions Other Than Ghg Emissions By The Entity Is Applicable To The Company,1.0,0.3768,1.0,0.0,0.0,Kalman Verified (High),Other Emissions - Other Air Emissions Domain9,0.9176
Does the company have facilities/operations in water stress regions,Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0,0.393,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have Any Sites Or Facilities Identified As Designated Consumers Under The Performance Achieve And Trade Scheme Of The Government Of India,0.9323
Has the entity implemented mechanism for Zero Liquid Discharge,Has The Entity Implemented AMechanism For Zero Liquid Discharge,1.0,0.8695,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of The Entity Implemented AMechanism For Zero Liquid Discharge,0.8026
Does the company monitor Chemical Oxygen Demand during water discharge,Water Discharge To Surface Water,1.0,0.4353,1.0,0.0,0.0,Kalman Verified (High),Water Discharge To Groundwater,0.9277
Third party verification of water data,Water Withdrawal By Third Party Water,1.0,0.5231,1.0,0.0,0.0,Kalman Verified (High),Water Withdrawal By Third Party Water - Previous Year,0.9189
What are the goals/targets/commitments towards Energy consumption,Remarks For Assurance Of Specific Commitments Goals And Targets Set By The Entity With Defined Timelines,1.0,0.3875,1.0,0.0,0.0,Kalman Verified (High),Assurance Sub Type For Specific Commitments Goals And Targets Set By The Entity With Defined Timelines,1.0
