question_id,question_text,global_optimal_match,optimal_score,alt_match_1,alt_score_1,alt_match_2,alt_score_2,alt_match_3,alt_score_3,confidence_flag,final_selected_column,true_bm25_score,ncd_score,p_value,verification_status
67,What is the total volume of fresh water discharge (in kilolitres) for the Current Year?,Total Volume Of Water Consumption,23.5472,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,25.4427,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,25.0171,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,24.3707,Ambiguous,Total Volume Of Water Consumption,15.1601,0.7683,0,Failed Verification
281,What is the total volume of water consumed (in kilolitres) in areas of water stress for the Current Year?,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,29.2332,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,30.1677,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,29.8797,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,29.2332,Ambiguous,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,23.3439,0.6495,0,Weak Match - Review
275,What is the total effluent discharge in the Current Year?,It Is Planned To Be Done In The Next Financial Year - Principle7 Member,13.3011,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,13.9988,It Is Planned To Be Done In The Next Financial Year - Principle3 Member,13.3011,It Is Planned To Be Done In The Next Financial Year - Principle9 Member,13.3011,Low Confidence,It Is Planned To Be Done In The Next Financial Year - Principle7 Member,9.9805,0.7143,0,Failed Verification
285,How much was the Water intensity in Current Year (in kilolitres) for physical output?,Water Intensity In Term Of Physical Output,31.0295,Water Intensity In Term Of Physical Output,31.0295,Energy Intensity In Term Of Physical Output,27.7507,Waste Intensity In Term Of Physical Output,27.7507,High Confidence,Water Intensity In Term Of Physical Output,31.03,0.6786,0,Weak Match - Review
288,What is the water intensity per rupee of turnover adjusted for Purchasing Power Parity in crores Current Year (in kilolitres) - PPP?,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,46.6543,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,46.6543,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,43.838,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,43.838,High Confidence,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,44.2561,0.5856,0,Weak Match - Review
306,What is the energy intensity turnover for the current year?,Energy Intensity The Relevant Metric May Be Selected By The Entity,17.8605,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,23.5371,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,18.0731,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,18.0731,High Confidence,Energy Intensity The Relevant Metric May Be Selected By The Entity,14.1334,0.5441,0,Weak Match - Review
270,Percentage of energy consumed from renewable sources?,Total Energy Consumed From Renewable Sources,32.9606,Total Energy Consumed From Renewable Sources,32.9606,Total Energy Consumed From Non Renewable Sources,31.6071,Total Energy Consumed From Renewable And Non Renewable Sources,31.3422,High Confidence,Total Energy Consumed From Renewable Sources,32.4005,0.4746,0,Mathematically Verified
272,What is the energy intensity in terms of physical output?,Energy Intensity In Term Of Physical Output,42.9809,Energy Intensity In Term Of Physical Output,42.9809,Energy Intensity In Term Of Physical Output - Previous Year,39.7188,Water Intensity In Term Of Physical Output,36.6194,High Confidence,Energy Intensity In Term Of Physical Output,31.9446,0.5806,0,Weak Match - Review
305,What is the energy intensity adjusted for Purchasing Power Parity for Current Year?,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,34.8178,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,34.8178,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,31.6383,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,29.3538,High Confidence,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,35.645,0.4375,0,Mathematically Verified
301,What is the waste intensity adjusted for Purchasing Power Parity for Current Year?,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,33.8807,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,33.8807,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,31.6383,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,29.3538,High Confidence,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,34.8233,0.4557,0,Mathematically Verified
294,How much was the hazardous waste for the current year (in metric tonnes)?,Total Waste Recovered,16.9181,Waste Recovered Through Recycled,23.3311,Amount Of Recycled - Hazardous Waste Member,20.1414,Total Waste Recovered,16.9181,High Confidence,Total Waste Recovered,6.3586,0.7917,0.008,Failed Verification
300,What is the waste recycled/recovered intensity for the current year?,Waste Recovered Through Recycled,23.3311,Waste Recovered Through Recycled,23.3311,Amount Of Recycled - Hazardous Waste Member,20.1414,Waste Intensity The Relevant Metric May Be Selected By The Entity,16.9233,High Confidence,Waste Recovered Through Recycled,23.0956,0.6857,0,Weak Match - Review
126,Percentage of recycled or reused input material used in production (for manufacturing industry) or providing services (for service industry),Remarks For Assurance Of Details Of Percentage Of Recycled Or Reused Input Material To Total Material By Value Used In Production Or Providing Services,39.1277,Remarks For Assurance Of Details Of Percentage Of Recycled Or Reused Input Material To Total Material By Value Used In Production Or Providing Services,39.1277,Indicate In Put Material - Recycled Or Reused Input Material Used In Production Or Providing Services Domain3,38.6461,Indicate In Put Material - Recycled Or Reused Input Material Used In Production Or Providing Services Domain4,38.6461,Ambiguous,Remarks For Assurance Of Details Of Percentage Of Recycled Or Reused Input Material To Total Material By Value Used In Production Or Providing Services,36.7522,0.6033,0,Weak Match - Review
297,What was the total waste intensity (current year) (Unit: Metric Tonne) - Physical Output?,Waste Intensity In Term Of Physical Output,30.8291,Waste Intensity In Term Of Physical Output,30.8291,Energy Intensity In Term Of Physical Output,25.5586,Water Intensity In Term Of Physical Output,25.5586,High Confidence,Waste Intensity In Term Of Physical Output,28.2808,0.6705,0,Weak Match - Review
302,What is the waste intensity adjusted for Purchasing Power Parity for the current year?,Waste Intensity The Relevant Metric May Be Selected By The Entity,16.9233,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,33.8807,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,31.6383,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,29.3538,High Confidence,Waste Intensity The Relevant Metric May Be Selected By The Entity,13.3117,0.6753,0,Weak Match - Review
6,Turnover of products and/or services as a percentage of turnover from all products/service that carry information about the safe and responsible usage?,Remarks For Assurance Of Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,45.7362,Remarks For Assurance Of Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,45.7362,Assurance Sub Type For Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,45.3533,Whether Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover Is Assured By Assurer,43.6791,Ambiguous,Remarks For Assurance Of Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,52.8642,0.5882,0,Weak Match - Review
266,What is the clinker factor ratio?,It Is Planned To Be Done In The Next Financial Year - Principle4 Member,9.5512,Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,9.7985,It Is Planned To Be Done In The Next Financial Year - Principle5 Member,9.5512,It Is Planned To Be Done In The Next Financial Year - Principle8 Member,9.5512,Low Confidence,It Is Planned To Be Done In The Next Financial Year - Principle4 Member,4.6293,0.7662,0.02,Failed Verification
107,What is fly ash % utilisation in current year?,It Is Planned To Be Done In The Next Financial Year - Principle2 Member,12.2885,It Is Planned To Be Done In The Next Financial Year - Principle2 Member,12.2885,It Is Planned To Be Done In The Next Financial Year - Principle9 Member,12.2885,It Is Planned To Be Done In The Next Financial Year - Principle6 Member,12.2885,Low Confidence,It Is Planned To Be Done In The Next Financial Year - Principle2 Member,7.339,0.7143,0,Failed Verification
163,Is the company investing in new generation aircraft fleet? Has the number increased as compared to previous year?,Percentage Of Investments In Related Parties In Total Investments - Previous Year,17.2139,Percentage Of Investments In Related Parties In Total Investments - Previous Year,17.2139,Whether CSRIs Applicable As Per Section135 Of Companies Act2013,16.0192,Whether CSRIs Applicable As Per Section135 Of Companies Act2013 Is Assured By Assurer,15.4858,High Confidence,Percentage Of Investments In Related Parties In Total Investments - Previous Year,7.5633,0.7065,0.006,Failed Verification
247,"What percentage of the total virgin raw material does the company produced and/or purchased covered by FSC, PEFC and/or SFI certification?",What Percentage Of Total Procurement By Value Does It Constitute,20.3383,What Percentage Of Total Procurement By Value Does It Constitute,20.3383,Percentage Of Purchases From Trading Houses In Total Purchases For Concentration Of Purchases,16.7228,Percentage Of Purchases From Trading Houses In Total Purchases For Concentration Of Purchases - Previous Year,15.9892,High Confidence,What Percentage Of Total Procurement By Value Does It Constitute,18.7738,0.7059,0,Failed Verification
704,Total Lost time incident rate (LTIR)_Workers?,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member,25.8837,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member,25.8837,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member - Previous Year,24.2836,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member,23.5254,High Confidence,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member,22.7568,0.7439,0,Failed Verification
591,Total Lost time incident rate (LTIR)_Employees?,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member,25.855,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member,25.855,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member - Previous Year,24.2566,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member,23.5254,High Confidence,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member,22.6707,0.7209,0,Failed Verification
592,Total recordable work related injuries for employees as a % of the total employees in the company,Total Recordable Work Related Injuries - Employees Member,35.582,Total Recordable Work Related Injuries - Employees Member,35.582,Total Recordable Work Related Injuries - Employees Member - Previous Year,32.8814,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,18.4493,High Confidence,Total Recordable Work Related Injuries - Employees Member,43.1581,0.5976,0,Weak Match - Review
593,Total recordable work related injuries for workers as a % of the total workers in the company,Total Recordable Work Related Injuries - Workers Member,35.6178,Total Recordable Work Related Injuries - Workers Member,35.6178,Total Recordable Work Related Injuries - Workers Member - Previous Year,32.9146,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member,18.479,High Confidence,Total Recordable Work Related Injuries - Workers Member,43.3752,0.5823,0,Weak Match - Review
594,Fatalities of employees,Number Of Fatalities - Employees Member,14.5458,Number Of Fatalities - Employees Member,14.5458,Number Of Fatalities - Employees Member - Previous Year,13.3512,Does The Entity Extend Any Life Insurance Or Any Compensatory Package In The Event Of Death Of Employees,10.4991,High Confidence,Number Of Fatalities - Employees Member,12.6894,0.5349,0,Weak Match - Review
595,Fatalities of workers,Number Of Fatalities - Workers Member,14.5849,Number Of Fatalities - Workers Member,14.5849,Number Of Fatalities - Workers Member - Previous Year,13.387,Does The Entity Extend Any Life Insurance Or Any Compensatory Package In The Event Of Death Of Workers,10.5238,High Confidence,Number Of Fatalities - Workers Member,12.8083,0.5116,0,Weak Match - Review
622,Count of high consquence work related injury or ill health of employees (excluding fatalities),High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,54.0174,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,54.0174,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member - Previous Year,50.5715,Remarks For Assurance Of Details Of Number Of Employees Or Workers Having Suffered High Consequence Work Related Injury Or Ill Health Or Fatalities Who Or Whose Family Members Are Rehabilitated And Placed In Suitable Employment,33.0203,High Confidence,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,53.1141,0.5222,0,Weak Match - Review
623,Count of high consquence work related injury or ill health of workers(excluding fatalities),High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member,51.6084,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member,51.6084,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,51.6084,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member - Previous Year,48.3162,Ambiguous,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member,50.6788,0.5227,0,Weak Match - Review
585,Percentage of plants and offices that were assessed (by entity or statutory authorities or third parties) with respect to health and safety practices?,Percentage Of Health And Safety Practices Of Your Plants And Offices That Were Assessed P3,42.2978,Percentage Of Health And Safety Practices Of Your Plants And Offices That Were Assessed P3,42.2978,Percentage Of Discrimination At Work Place Of Your Plants And Offices That Were Assessed P5,32.1822,Percentage Of Wages Of Your Plants And Offices That Were Assessed P5,29.6472,High Confidence,Percentage Of Health And Safety Practices Of Your Plants And Offices That Were Assessed P3,44.574,0.6522,0,Weak Match - Review
504,Provide percentage of total employees covered under health and safety measures training,Percentage Of Trained Employees Or Workers - Male Member - On Health And Safety Measures Member - Employees Member,20.552,Percentage Of Trained Employees Or Workers - Gender Member - On Health And Safety Measures Member - Employees Member,20.552,Percentage Of Trained Employees Or Workers - Male Member - On Health And Safety Measures Member - Employees Member,20.552,Percentage Of Trained Employees Or Workers - Female Member - On Health And Safety Measures Member - Employees Member,20.552,Ambiguous,Percentage Of Trained Employees Or Workers - Male Member - On Health And Safety Measures Member - Employees Member,19.289,0.6042,0,Weak Match - Review
543,Percentage of total permanent employees covered by health insurance,Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Permanent Employees Member,18.2135,Percentage Of Well Being Of Employees Or Workers - Gender Member - Health Insurance Member - Permanent Employees Member,18.2135,Percentage Of Well Being Of Employees Or Workers - Female Member - Health Insurance Member - Permanent Employees Member,18.2135,Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Permanent Employees Member,18.2135,Ambiguous,Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Permanent Employees Member,16.2351,0.5895,0,Weak Match - Review
544,Percentage of total other than permanent employees covered by health insurance,Percentage Of Well Being Of Employees Or Workers - Other Gender Member - Health Insurance Member - Other Than Permanent Employees Member,22.7048,Percentage Of Well Being Of Employees Or Workers - Other Gender Member - Health Insurance Member - Other Than Permanent Employees Member,22.7048,Percentage Of Well Being Of Employees Or Workers - Female Member - Health Insurance Member - Other Than Permanent Employees Member,22.3342,Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Other Than Permanent Employees Member,22.3342,Ambiguous,Percentage Of Well Being Of Employees Or Workers - Other Gender Member - Health Insurance Member - Other Than Permanent Employees Member,20.7278,0.6147,0,Weak Match - Review
545,Percentage of total permanent workers covered by health insurance,Percentage Of Persons In Respective Category Covered By The Awareness Programmes - Workers Segment Member,11.625,Percentage Of Persons In Respective Category Covered By The Awareness Programmes - Workers Segment Member,11.625,Remarks For Assurance Of Whether Your Entitys Policy Or Policies Cover Each Principle And Its Core Elements Of The NGRBCs,10.3102,Whether Reasons If Policies Not Cover Each Principle And Its Core Elements Of The NGRBCs Is Assured By Assurer,10.2358,Low Confidence,Percentage Of Persons In Respective Category Covered By The Awareness Programmes - Workers Segment Member,10.4511,0.6667,0,Weak Match - Review
546,Percentage of total other than permanent workers covered by health insurance,Details Of Mechanism Available To Receive And Redress Grievances For Other Than Permanent Workers Explanatory Text Block,11.1788,Percentage Of Persons In Respective Category Covered By The Awareness Programmes - Workers Segment Member,11.625,Details Of Mechanism Available To Receive And Redress Grievances For Other Than Permanent Workers Explanatory Text Block,11.1788,Is There AMechanism Available To Receive And Redress Grievances For Other Than Permanent Workers,10.3862,Low Confidence,Details Of Mechanism Available To Receive And Redress Grievances For Other Than Permanent Workers Explanatory Text Block,9.937,0.713,0,Failed Verification
548,Percentage of total permanent worker covered by accident insurance,Percentage Of Well Being Of Employees Or Workers - Male Member - Accident Insurance Member - Permanent Employees Member,19.1348,Percentage Of Well Being Of Employees Or Workers - Gender Member - Accident Insurance Member - Permanent Employees Member,19.1348,Percentage Of Well Being Of Employees Or Workers - Female Member - Accident Insurance Member - Permanent Employees Member,19.1348,Percentage Of Well Being Of Employees Or Workers - Male Member - Accident Insurance Member - Permanent Employees Member,19.1348,Ambiguous,Percentage Of Well Being Of Employees Or Workers - Male Member - Accident Insurance Member - Permanent Employees Member,17.1134,0.5833,0,Weak Match - Review
549,Percentage of total other than permanent workers covered by accident insurance,,,,,,,,,,,,,,
547,Percentage of total other than permanent employees covered by accident insurance,,,,,,,,,,,,,,
510,What is the percentage of female employees in the workforce,Return To Work Rate Permanent Employees That Took Parental Leave - Female Member,12.2362,Details Of Product Information On The Product Over And Above What Is Mandated As Per Local Laws Explanatory Text Block,12.6141,Return To Work Rate Permanent Employees That Took Parental Leave - Female Member,12.2362,Remarks For Assurance Of Whether The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,12.0882,Low Confidence,Return To Work Rate Permanent Employees That Took Parental Leave - Female Member,6.3877,0.6456,0.008,Weak Match - Review
729,What is the turnover rate for permanent female employees in the Current Year,Retention Rates Permanent Employees That Took Parental Leave - Female Member,23.4421,Retention Rates Permanent Employees That Took Parental Leave - Female Member,23.4421,Turnover Rate - Female Member - Permanent Employees Member,22.4572,Retention Rates Permanent Employees That Took Parental Leave - Gender Member,19.076,Ambiguous,Retention Rates Permanent Employees That Took Parental Leave - Female Member,9.9666,0.6053,0,Weak Match - Review
728,What is the turnover rate for permanent female worker in the Current Year,Retention Rates Permanent Workers That Took Parental Leave - Female Member,23.474,Retention Rates Permanent Workers That Took Parental Leave - Female Member,23.474,Turnover Rate - Female Member - Permanent Workers Member,22.493,Retention Rates Permanent Workers That Took Parental Leave - Gender Member,19.1079,Ambiguous,Retention Rates Permanent Workers That Took Parental Leave - Female Member,7.3437,0.6081,0.002,Weak Match - Review
501,Pay parity between male and female employees,Number Of Employees Or Workers Related To Minimum Wages - Total Minimum Wages Member - Female Member - Permanent Employees Member,10.9939,Number Of Employees Or Workers Related To Minimum Wages - Total Minimum Wages Member - Female Member - Permanent Employees Member,10.9939,Number Of Employees Or Workers Related To Minimum Wages - Equal To Minimum Wage Member - Female Member - Permanent Employees Member,10.7455,Percentage Of Employees Or Workers Related To Minimum Wages - Equal To Minimum Wage Member - Female Member - Permanent Employees Member,10.7455,Low Confidence,Number Of Employees Or Workers Related To Minimum Wages - Total Minimum Wages Member - Female Member - Permanent Employees Member,6.2428,0.7292,0,Failed Verification
1194,Number of complaints on PSH as a % of female employees/workers for current year,Average Number Of Female Employees Or Workers At The Beginning Of The Year And As At End Of The Year,16.6422,Average Number Of Female Employees Or Workers At The Beginning Of The Year And As At End Of The Year,16.6422,Number Of Trained Employees Or Workers - Female Member - On Skill Upgradation Member - Workers Member,16.1368,Number Of Trained Employees Or Workers - Female Member - On Skill Upgradation Member - Employees Member,16.125,Ambiguous,Average Number Of Female Employees Or Workers At The Beginning Of The Year And As At End Of The Year,15.3243,0.6207,0,Weak Match - Review
785,What is the gross wages paid to females as percentage of wages paid,Percentage Of Gross Wages Paid To Female To Total Wages Paid,31.9788,Percentage Of Gross Wages Paid To Female To Total Wages Paid,31.9788,Gross Wages Paid To Female,30.2982,Percentage Of Gross Wages Paid To Female To Total Wages Paid - Previous Year,30.1756,High Confidence,Percentage Of Gross Wages Paid To Female To Total Wages Paid,38.6206,0.5484,0,Weak Match - Review
745,How many complaints were filed on discrimination at workplace in current year?,Number Of Complaints Filed During The Year - Discrimination At Work Place Member,31.1603,Number Of Complaints Filed During The Year - Discrimination At Work Place Member,31.1603,Number Of Complaints Pending Resolution At The End Of Year - Discrimination At Work Place Member,25.1388,Remarksfor Complaints Explanatory Text Block - Discrimination At Work Place Member,22.8383,High Confidence,Number Of Complaints Filed During The Year - Discrimination At Work Place Member,22.8672,0.5833,0,Weak Match - Review
735,How many complaints were filed by employees and workers or employees as a % of number of employees in the current year,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Employees And Workers Member,19.7927,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Employees And Workers Member,19.7927,Number Of Complaints Filed During The Year - Working Conditions Complaints Member,18.4837,Number Of Complaints Filed During The Year - Health Safety Complaints Member,18.4837,High Confidence,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Employees And Workers Member,21.9638,0.6389,0,Weak Match - Review
741,What is the number of pending/unresolved employees and workers grievances as % of total complaints filed in the current year,Number Of Complaints Pending From Stake Holder Group Resolution At The End Of Year - Complaint Received From Employees And Workers Member,18.7871,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Employees And Workers Member,19.7927,Number Of Complaints Pending From Stake Holder Group Resolution At The End Of Year - Complaint Received From Employees And Workers Member,18.7871,Number Of Complaints Filed During The Year - Health Safety Complaints Member,18.4837,High Confidence,Number Of Complaints Pending From Stake Holder Group Resolution At The End Of Year - Complaint Received From Employees And Workers Member,17.5863,0.6525,0,Weak Match - Review
720,How many complaints were filed on wages in the current year,Number Of Complaints Filed During The Year - Wages Member,18.3034,Number Of Complaints Filed During The Year - Wages Member,18.3034,Number Of Complaints Filed During The Year - Health Safety Complaints Member,14.5737,Number Of Complaints Filed During The Year - Working Conditions Complaints Member,14.5737,High Confidence,Number Of Complaints Filed During The Year - Wages Member,18.6517,0.6032,0,Weak Match - Review
571,Pending resolution of complaints as a % of total complaints filed by employees and workers pertaining to working conditions,Number Of Complaints Pending Resolution At The End Of Year - Working Conditions Complaints Member,27.7168,Number Of Complaints Pending Resolution At The End Of Year - Working Conditions Complaints Member,27.7168,Number Of Complaints Pending Resolution At The End Of Year - Working Conditions Complaints Member - Previous Year,26.1741,Number Of Complaints Filed During The Year - Working Conditions Complaints Member,24.5025,High Confidence,Number Of Complaints Pending Resolution At The End Of Year - Working Conditions Complaints Member,31.0445,0.5957,0,Weak Match - Review
