question_id,original_question_text,combined_query,global_optimal_match,optimal_score,alt_match_1,alt_score_1,alt_match_2,alt_score_2,alt_match_3,alt_score_3,confidence_flag,final_selected_column,true_bm25_score,ncd_score,p_value,verification_status
Q7,What are the total NOx emissions for the Current Year (Unit: Metric Tonne)?,What are the total NOx emissions for the Current Year (Unit: Metric Tonne)? Whether There Are Changes In Acounting Estimates During The Year,NOx,25.3542,NOx,25.3542,Number Of Complaints Filed During The Year - Discrimination At Work Place Member,21.4163,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,19.5989,High Confidence,NOx,13.8086,0.9167,0.014,Failed Verification
Q8,What is the water intensity per rupee of turnover in crores for the Current Year? (in kilolitres),What is the water intensity per rupee of turnover in crores for the Current Year? (in kilolitres) Number Of Employees In The Company At The End Of The Financial Year,Water Intensity Per Rupee Of Turnover,27.1056,Water Intensity Per Rupee Of Turnover,27.1056,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,25.4427,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,25.0171,High Confidence,Water Intensity Per Rupee Of Turnover,25.8441,0.7923,0.0,Failed Verification
Q9,What is the % of untreated water discharge?,What is the % of untreated water discharge? Cost Water Charges,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,18.0904,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,18.0904,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,16.2496,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,15.6031,High Confidence,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,12.3987,0.7041,0.0,Failed Verification
Q10,What is the total volume of fresh water withdrawal (in kilolitres) for the Current Year?,What is the total volume of fresh water withdrawal (in kilolitres) for the Current Year? Number Of Employees In The Company At The End Of The Financial Year,Total Volume Of Water Withdrawal,22.6962,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,25.4427,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,25.0171,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,24.3707,Ambiguous,Total Volume Of Water Withdrawal,21.5155,0.8047,0.0,Failed Verification
Q11,What is the total volume of fresh water discharge (in kilolitres) for the Current Year?,What is the total volume of fresh water discharge (in kilolitres) for the Current Year? Number Of Employees In The Company At The End Of The Financial Year,Total Volume Of Water Consumption,23.5472,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,25.4427,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,25.0171,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,24.3707,Ambiguous,Total Volume Of Water Consumption,15.9198,0.814,0.0,Failed Verification
Q12,What is the total volume of water consumed (in kilolitres) in areas of water stress for the Current Year?,What is the total volume of water consumed (in kilolitres) in areas of water stress for the Current Year? Cost Water Charges,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,29.8797,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,30.1677,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,29.8797,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,29.2332,Ambiguous,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,26.9712,0.6531,0.0,Weak Match - Review
Q13,What is the total effluent discharge in the Current Year?,What is the total effluent discharge in the Current Year? Number Of Employees In The Company At The End Of The Financial Year,It Is Planned To Be Done In The Next Financial Year - Principle8 Member,18.0246,Whether Details Of Employees As At The End Of Financial Year Is Assured By Assurer,23.9238,Remarks For Assurance Of Details Of Employees As At The End Of Financial Year,21.7549,Assurance Sub Type For Details Of Employees As At The End Of Financial Year,21.3935,High Confidence,It Is Planned To Be Done In The Next Financial Year - Principle8 Member,22.6864,0.6204,0.0,Weak Match - Review
Q14,How much was the Water intensity in Current Year (in kilolitres) for physical output?,How much was the Water intensity in Current Year (in kilolitres) for physical output? Cost Water Charges,Water Intensity In Term Of Physical Output,31.0295,Water Intensity In Term Of Physical Output,31.0295,Energy Intensity In Term Of Physical Output,27.7507,Waste Intensity In Term Of Physical Output,27.7507,High Confidence,Water Intensity In Term Of Physical Output,34.3258,0.7113,0.0,Failed Verification
Q15,What is the water intensity per rupee of turnover adjusted for Purchasing Power Parity in crores Current Year (in kilolitres) - PPP?,What is the water intensity per rupee of turnover adjusted for Purchasing Power Parity in crores Current Year (in kilolitres) - PPP? Whether There Is Any Change In Functional Currency During The Year,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,46.6543,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,46.6543,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,43.838,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,43.838,High Confidence,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,44.2561,0.6732,0.0,Weak Match - Review
Q16,What is the energy intensity turnover for the current year?,What is the energy intensity turnover for the current year? Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,Whether Turnover Rate For Permanent Employees And Workers Disclose Trends For Past Three Years Is Assured By Assurer,24.6761,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,25.23,Whether Turnover Rate For Permanent Employees And Workers Disclose Trends For Past Three Years Is Assured By Assurer,24.6761,Total Fuel Consumption From Renewable Sources,23.7763,Ambiguous,Whether Turnover Rate For Permanent Employees And Workers Disclose Trends For Past Three Years Is Assured By Assurer,11.5513,0.6983,0.0,Weak Match - Review
Q17,Percentage of energy consumed from renewable sources?,Percentage of energy consumed from renewable sources? Raw Materials Consumed,Total Energy Consumed From Renewable And Non Renewable Sources,31.3422,Total Energy Consumed From Renewable Sources,32.9606,Total Energy Consumed From Non Renewable Sources,31.6071,Total Energy Consumed From Renewable And Non Renewable Sources,31.3422,High Confidence,Total Energy Consumed From Renewable And Non Renewable Sources,38.9299,0.52,0.0,Weak Match - Review
Q18,What is the energy intensity in terms of physical output?,What is the energy intensity in terms of physical output? Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,Energy Intensity In Term Of Physical Output,42.9809,Energy Intensity In Term Of Physical Output,42.9809,Energy Intensity In Term Of Physical Output - Previous Year,39.7188,Water Intensity In Term Of Physical Output,36.6194,High Confidence,Energy Intensity In Term Of Physical Output,38.5073,0.7521,0.0,Failed Verification
Q19,What is the energy intensity adjusted for Purchasing Power Parity for Current Year?,What is the energy intensity adjusted for Purchasing Power Parity for Current Year? Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,36.5107,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,36.5107,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,33.0355,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,31.0467,High Confidence,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,42.9178,0.6212,0.0,Weak Match - Review
Q20,What is the waste intensity adjusted for Purchasing Power Parity for Current Year?,What is the waste intensity adjusted for Purchasing Power Parity for Current Year? Whether Company Has Published Sustainability Report For The Financial Year,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,33.8807,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,33.8807,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,31.6383,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,29.3538,High Confidence,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,36.507,0.627,0.0,Weak Match - Review
Q21,How much was the hazardous waste for the current year (in metric tonnes)?,How much was the hazardous waste for the current year (in metric tonnes)? Number Of Employees In The Company At The End Of The Financial Year,Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Hazardous Waste Explanatory Text Block,18.9022,Remarks For Assurance Of Details Of Employees As At The End Of Financial Year,26.7634,Assurance Sub Type For Details Of Employees As At The End Of Financial Year,26.402,Whether Details Of Employees As At The End Of Financial Year Is Assured By Assurer,24.3109,Ambiguous,Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Hazardous Waste Explanatory Text Block,25.1091,0.6794,0.0,Weak Match - Review
Q22,What is the waste recycled/recovered intensity for the current year?,What is the waste recycled/recovered intensity for the current year? Number Of Employees In The Company At The End Of The Financial Year,Whether Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Plastics Including Packaging EWaste Hazardous Waste And Other Waste Is Assured By Assurer,19.871,Whether Details Of Employees As At The End Of Financial Year Is Assured By Assurer,23.9238,Waste Recovered Through Recycled,23.3311,Remarks For Assurance Of Details Of Employees As At The End Of Financial Year,23.0901,Ambiguous,Whether Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Plastics Including Packaging EWaste Hazardous Waste And Other Waste Is Assured By Assurer,19.8749,0.7436,0.0,Failed Verification
Q23,Percentage of recycled or reused input material used in production (for manufacturing industry) or providing services (for service industry),Percentage of recycled or reused input material used in production (for manufacturing industry) or providing services (for service industry) Type Of Industry,Remarks For Assurance Of Details Of Percentage Of Recycled Or Reused Input Material To Total Material By Value Used In Production Or Providing Services,39.1277,Remarks For Assurance Of Details Of Percentage Of Recycled Or Reused Input Material To Total Material By Value Used In Production Or Providing Services,39.1277,Indicate In Put Material - Recycled Or Reused Input Material Used In Production Or Providing Services Domain8,38.6461,Indicate In Put Material - Recycled Or Reused Input Material Used In Production Or Providing Services Domain5,38.6461,Ambiguous,Remarks For Assurance Of Details Of Percentage Of Recycled Or Reused Input Material To Total Material By Value Used In Production Or Providing Services,37.1303,0.5702,0.0,Weak Match - Review
Q24,What was the total waste intensity (current year) (Unit: Metric Tonne) - Physical Output?,What was the total waste intensity (current year) (Unit: Metric Tonne) - Physical Output? unit Denominator,Waste Intensity In Term Of Physical Output,30.8291,Waste Intensity In Term Of Physical Output,30.8291,Energy Intensity In Term Of Physical Output,25.5586,Water Intensity In Term Of Physical Output,25.5586,High Confidence,Waste Intensity In Term Of Physical Output,28.2808,0.6832,0.0,Weak Match - Review
Q25,What is the waste intensity adjusted for Purchasing Power Parity for the current year?,What is the waste intensity adjusted for Purchasing Power Parity for the current year? Whether Company Has Published Sustainability Report For The Financial Year,Waste Recovered Through Recycled,23.3311,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,33.8807,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,31.6383,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,29.3538,High Confidence,Waste Recovered Through Recycled,6.0401,0.8583,0.044,Failed Verification
Q26,Turnover of products and/or services as a percentage of turnover from all products/service that carry information about the safe and responsible usage?,Turnover of products and/or services as a percentage of turnover from all products/service that carry information about the safe and responsible usage? Products And Services Domain,Remarks For Assurance Of Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,45.7362,Remarks For Assurance Of Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,45.7362,Assurance Sub Type For Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,45.3533,Whether Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover Is Assured By Assurer,43.6791,Ambiguous,Remarks For Assurance Of Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,60.4095,0.5781,0.0,Weak Match - Review
Q27,What is the clinker factor ratio?,What is the clinker factor ratio? Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are,Whether Specific Commitments Goals And Targets Set By The Entity With Defined Timelines Is Assured By Assurer,11.8059,Whether Specific Commitments Goals And Targets Set By The Entity With Defined Timelines Is Assured By Assurer,11.8059,Whether Weblink Where Information On Products And Services Of The Entity Can Be Accessed Is Assured By Assurer,11.803,Remarks For Assurance Of Whether The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,11.7774,Low Confidence,Whether Specific Commitments Goals And Targets Set By The Entity With Defined Timelines Is Assured By Assurer,6.6937,0.7091,0.01,Failed Verification
Q28,What is fly ash % utilisation in current year?,What is fly ash % utilisation in current year? Amount Provided In Current Year,It Is Planned To Be Done In The Next Financial Year - Principle7 Member,12.2885,It Is Planned To Be Done In The Next Financial Year - Principle2 Member,12.2885,It Is Planned To Be Done In The Next Financial Year - Principle7 Member,12.2885,It Is Planned To Be Done In The Next Financial Year - Principle8 Member,12.2885,Low Confidence,It Is Planned To Be Done In The Next Financial Year - Principle7 Member,11.3694,0.641,0.002,Weak Match - Review
Q29,Is the company investing in new generation aircraft fleet? Has the number increased as compared to previous year?,Is the company investing in new generation aircraft fleet? Has the number increased as compared to previous year? Number Of Employees In The Company At The End Of The Financial Year,Whether Details Of Employees As At The End Of Financial Year Is Assured By Assurer,27.4835,Whether Details Of Employees As At The End Of Financial Year Is Assured By Assurer,27.4835,Remarks For Assurance Of Details Of Employees As At The End Of Financial Year,25.4281,Assurance Sub Type For Details Of Employees As At The End Of Financial Year,25.0668,High Confidence,Whether Details Of Employees As At The End Of Financial Year Is Assured By Assurer,33.0057,0.6324,0.0,Weak Match - Review
Q30,"What percentage of the total virgin raw material does the company produced and/or purchased covered by FSC, PEFC and/or SFI certification?","What percentage of the total virgin raw material does the company produced and/or purchased covered by FSC, PEFC and/or SFI certification? Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period",What Percentage Of Total Procurement By Value Does It Constitute,25.3718,What Percentage Of Total Procurement By Value Does It Constitute,25.3718,Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,19.7056,Remarks For Assurance Of APreferential Procurement Policy Where Preference To Purchase From Suppliers Comprising Marginalized Or Vulnerable Groups And Its Percentage Of Total Procurement By Value Does It Constitute,18.5564,High Confidence,What Percentage Of Total Procurement By Value Does It Constitute,23.1797,0.8103,0.0,Failed Verification
Q31,Total Lost time incident rate (LTIR)_Workers?,Total Lost time incident rate (LTIR)_Workers? Discount Rate Used To Reflect Time Value Of Money Regulatory Deferral Account Balances,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member,25.8837,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member,25.8837,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member - Previous Year,24.2836,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member,23.5254,High Confidence,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member,35.5775,0.7009,0.0,Failed Verification
Q32,Total Lost time incident rate (LTIR)_Employees?,Total Lost time incident rate (LTIR)_Employees? Commission Employees,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member,25.855,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member,25.855,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member - Previous Year,24.2566,Turnover Rate - Male Member - Permanent Employees Member,9.4569,High Confidence,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member,25.022,0.6628,0.0,Weak Match - Review
Q33,Total recordable work related injuries for employees as a % of the total employees in the company,Total recordable work related injuries for employees as a % of the total employees in the company Number Of Employees In The Company At The End Of The Financial Year,Total Recordable Work Related Injuries - Employees Member,35.582,Total Recordable Work Related Injuries - Employees Member,35.582,Total Recordable Work Related Injuries - Employees Member - Previous Year,35.3173,Remarks For Assurance Of Details Of Employees As At The End Of Financial Year,26.7634,Ambiguous,Total Recordable Work Related Injuries - Employees Member,46.1237,0.6911,0.0,Weak Match - Review
Q34,Total recordable work related injuries for workers as a % of the total workers in the company,Total recordable work related injuries for workers as a % of the total workers in the company Number Of Employees In The Company At The End Of The Financial Year,Total Recordable Work Related Injuries - Employees Member - Previous Year,35.3173,Total Recordable Work Related Injuries - Employees Member,35.582,Total Recordable Work Related Injuries - Employees Member - Previous Year,35.3173,Remarks For Assurance Of Details Of Employees As At The End Of Financial Year,26.7634,Ambiguous,Total Recordable Work Related Injuries - Employees Member - Previous Year,39.485,0.6452,0.0,Weak Match - Review
Q35,Fatalities of employees,Fatalities of employees Commission Employees,Number Of Fatalities - Employees Member,14.5458,Number Of Fatalities - Employees Member,14.5458,Number Of Fatalities - Employees Member - Previous Year,13.3512,Does The Entity Extend Any Life Insurance Or Any Compensatory Package In The Event Of Death Of Employees,10.4991,Low Confidence,Number Of Fatalities - Employees Member,15.9378,0.5,0.0,Weak Match - Review
Q36,Fatalities of workers,Fatalities of workers Address Of Registered Office Of Company,Address Of Registered Office Of Company,27.3199,Address Of Registered Office Of Company,27.3199,Remarks For Assurance Of Address Of Registered Office Of Company,23.7841,Assurance Sub Type For Address Of Registered Office Of Company,23.4478,High Confidence,Address Of Registered Office Of Company,29.2771,0.3846,0.0,Mathematically Verified
Q37,Count of high consquence work related injury or ill health of employees (excluding fatalities),Count of high consquence work related injury or ill health of employees (excluding fatalities) Commission Employees,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,54.0174,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,54.0174,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member - Previous Year,50.5715,Remarks For Assurance Of Details Of Number Of Employees Or Workers Having Suffered High Consequence Work Related Injury Or Ill Health Or Fatalities Who Or Whose Family Members Are Rehabilitated And Placed In Suitable Employment,33.0203,High Confidence,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,55.5495,0.5258,0.0,Weak Match - Review
Q38,Count of high consquence work related injury or ill health of (excluding fatalities),Count of high consquence work related injury or ill health of (excluding fatalities) Rates And Taxes Excluding Taxes On Income,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member,51.6084,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member,51.6084,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,51.6084,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member - Previous Year,48.3162,Ambiguous,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member,58.4458,0.5505,0.0,Weak Match - Review
Q39,Percentage of plants and offices that were assessed (by entity or statutory authorities or third parties) with respect to health and safety practices?,Percentage of plants and offices that were assessed (by entity or statutory authorities or third parties) with respect to health and safety practices? Percentage Of Paid Up Capital Held By Foreign Holding Company And Or With Its Subsidiaries,Percentage Of Health And Safety Practices Of Your Plants And Offices That Were Assessed P3,42.2978,Percentage Of Health And Safety Practices Of Your Plants And Offices That Were Assessed P3,42.2978,Percentage Of Working Conditions Of Your Plants And Offices That Were Assessed P3,34.512,Percentage Of Discrimination At Work Place Of Your Plants And Offices That Were Assessed P5,32.1822,High Confidence,Percentage Of Health And Safety Practices Of Your Plants And Offices That Were Assessed P3,48.3566,0.7386,0.0,Failed Verification
Q40,Provide percentage of total employees covered under health and safety measures training,Provide percentage of total employees covered under health and safety measures training Training Recruitment Expenses,Percentage Of Trained Employees Or Workers - Male Member - On Health And Safety Measures Member - Employees Member,20.552,Percentage Of Trained Employees Or Workers - Gender Member - On Health And Safety Measures Member - Employees Member,20.552,Percentage Of Trained Employees Or Workers - Male Member - On Health And Safety Measures Member - Employees Member,20.552,Percentage Of Trained Employees Or Workers - Female Member - On Health And Safety Measures Member - Employees Member,20.552,Ambiguous,Percentage Of Trained Employees Or Workers - Male Member - On Health And Safety Measures Member - Employees Member,19.289,0.5354,0.0,Weak Match - Review
Q41,Percentage of total permanent employees covered by health insurance,Percentage of total permanent employees covered by health insurance Percentage Of Shares Held By Insurance Companies,Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Permanent Employees Member,18.2135,Percentage Of Well Being Of Employees Or Workers - Gender Member - Health Insurance Member - Permanent Employees Member,18.2135,Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Permanent Employees Member,18.2135,Percentage Of Well Being Of Employees Or Workers - Female Member - Health Insurance Member - Permanent Employees Member,18.2135,Ambiguous,Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Permanent Employees Member,22.7158,0.4948,0.0,Mathematically Verified
Q42,Percentage of total other than permanent employees covered by health insurance,Percentage of total other than permanent employees covered by health insurance Percentage Of Shares Held By Insurance Companies,Percentage Of Well Being Of Employees Or Workers - Other Gender Member - Health Insurance Member - Other Than Permanent Employees Member,22.7048,Percentage Of Well Being Of Employees Or Workers - Other Gender Member - Health Insurance Member - Other Than Permanent Employees Member,22.7048,Percentage Of Well Being Of Employees Or Workers - Female Member - Health Insurance Member - Other Than Permanent Employees Member,22.3342,Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Other Than Permanent Employees Member,22.3342,Ambiguous,Percentage Of Well Being Of Employees Or Workers - Other Gender Member - Health Insurance Member - Other Than Permanent Employees Member,26.6603,0.5321,0.0,Weak Match - Review
