question_text,best_match,mha_similarity_score,verification_status,alt_match_1,alt_score_1,alt_match_2,alt_score_2
How much was the Water intensity in Current Year (in kilolitres) for physical output?,Water Intensity In Term Of Physical Output - Previous Year,0.823,High Confidence (MHA),Water Intensity In Term Of Physical Output,0.7066,Total Water Discharged In Kilolitres - Previous Year,0.699
What is the water intensity per rupee of turnover adjusted for Purchasing Power Parity in crores Current Year (in kilolitres) - PPP?,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity - Previous Year,0.8773,High Confidence (MHA),Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,0.8708,Water Intensity Per Rupee Of Turnover,0.8108
What is the energy intensity turnover for the current year?,Energy Intensity Per Rupee Of Turnover - Previous Year,0.7464,High Confidence (MHA),Energy Intensity In Term Of Physical Output - Previous Year,0.7347,Energy Intensity Per Rupee Of Turnover,0.6921
Percentage of energy consumed from renewable sources?,Total Energy Consumed From Renewable Sources,0.8517,High Confidence (MHA),Total Electricity Consumption From Renewable Sources,0.8285,Total Energy Consumed From Renewable And Non Renewable Sources,0.8069
What is the energy intensity in terms of physical output?,Energy Intensity In Term Of Physical Output,0.8932,High Confidence (MHA),Energy Intensity In Term Of Physical Output - Previous Year,0.7194,Water Intensity In Term Of Physical Output,0.6749
What is the energy intensity adjusted for Purchasing Power Parity for Current Year?,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity - Previous Year,0.7814,High Confidence (MHA),Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,0.7562,Energy Intensity In Term Of Physical Output - Previous Year,0.6531
What is the waste intensity adjusted for Purchasing Power Parity for Current Year?,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity - Previous Year,0.8073,High Confidence (MHA),Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,0.7863,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity - Previous Year,0.7142
How much was the hazardous waste for the current year (in metric tonnes)?,Other Hazardous Waste - Previous Year,0.7547,High Confidence (MHA),Amount Of Recycled - Hazardous Waste Member - Previous Year,0.742,Other Non Hazardous Waste Generated - Previous Year,0.7153
What is the waste recycled/recovered intensity for the current year?,Waste Recovered Through Recycled - Previous Year,0.8263,High Confidence (MHA),Waste Recovered Through Re Used - Previous Year,0.7693,Waste Intensity In Term Of Physical Output - Previous Year,0.7661
Percentage of recycled or reused input material used in production (for manufacturing industry) or providing services (for service industry),Remarks For Assurance Of Details Of Percentage Of Recycled Or Reused Input Material To Total Material By Value Used In Production Or Providing Services,0.9059,High Confidence (MHA),Whether Details Of Percentage Of Recycled Or Reused Input Material To Total Material By Value Used In Production Or Providing Services Is Assured By Assurer,0.8317,Assurance Sub Type For Details Of Percentage Of Recycled Or Reused Input Material To Total Material By Value Used In Production Or Providing Services,0.8151
What was the total waste intensity (current year) (Unit: Metric Tonne) - Physical Output?,Waste Intensity In Term Of Physical Output - Previous Year,0.7732,High Confidence (MHA),Total Waste Generated - Previous Year,0.6978,Waste Intensity In Term Of Physical Output,0.6962
What is the waste intensity adjusted for Purchasing Power Parity for the current year?,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity - Previous Year,0.804,High Confidence (MHA),Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,0.7825,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity - Previous Year,0.7104
Turnover of products and/or services as a percentage of turnover from all products/service that carry information about the safe and responsible usage?,Remarks For Assurance Of Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,0.7751,High Confidence (MHA),Percentage Of Total Turnover For Product Or Service Sold - Products Or Services Sold By The Entity Accounting For Ninety Percent Of The Turnover Domain3,0.7409,Percentage Of Total Turnover For Product Or Service Sold - Products Or Services Sold By The Entity Accounting For Ninety Percent Of The Turnover Domain22,0.7351
What is the clinker factor ratio?,Ratio Of Remuneration Of Director Or Managerial Personnel To Median Of Remuneration Of Employees For Financial Year,0.3444,Low Confidence (MHA),Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are,0.3198,Explanation Of Adjustments Of Numerator To Calculate Basic Earnings Per Share,0.3027
What is fly ash % utilisation in current year?,Hazardous Air Pollutants - Previous Year,0.4811,Low Confidence (MHA),Amount Of Re Used - Hazardous Waste Member - Previous Year,0.4541,Total Scope2 Emissions - Previous Year,0.4367
Is the company investing in new generation aircraft fleet? Has the number increased as compared to previous year?,Amount Of Total Investments - Previous Year,0.4718,Low Confidence (MHA),Number Of Shares Of Current Investment Made In Body Corporate,0.4688,Amount Of Investments In Related Parties - Previous Year,0.4554
"What percentage of the total virgin raw material does the company produced and/or purchased covered by FSC, PEFC and/or SFI certification?",Raw Materials Consumed,0.4778,Low Confidence (MHA),Whether Details Of Percentage Of Recycled Or Reused Input Material To Total Material By Value Used In Production Or Providing Services Is Assured By Assurer,0.4505,Whether Percentage Of Input Material Inputs To Total Inputs By Value Sourced From Suppliers Is Assured By Assurer,0.4404
Total Lost time incident rate (LTIR)_Workers?,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member - Previous Year,0.656,Medium Confidence (MHA),Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member,0.6469,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member - Previous Year,0.6318
Total Lost time incident rate (LTIR)_Employees?,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member - Previous Year,0.6574,Medium Confidence (MHA),Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Employees Member,0.648,Lost Time Injury Frequency Rate Per One Million Person Hours Worked - Workers Member - Previous Year,0.647
Total recordable work related injuries for employees as a % of the total employees in the company,Total Recordable Work Related Injuries - Employees Member,0.8968,High Confidence (MHA),Total Recordable Work Related Injuries - Workers Member,0.8638,Total Recordable Work Related Injuries - Employees Member - Previous Year,0.8631
Total recordable work related injuries for workers as a % of the total workers in the company,Total Recordable Work Related Injuries - Workers Member,0.8884,High Confidence (MHA),Total Recordable Work Related Injuries - Employees Member,0.876,Total Recordable Work Related Injuries - Workers Member - Previous Year,0.8593
Fatalities of employees,Number Of Fatalities - Employees Member,0.8699,High Confidence (MHA),Number Of Fatalities - Employees Member - Previous Year,0.8354,Number Of Fatalities - Workers Member,0.8336
Fatalities of workers,Number Of Fatalities - Workers Member,0.8646,High Confidence (MHA),Number Of Fatalities - Workers Member - Previous Year,0.8292,Number Of Fatalities - Employees Member,0.7922
Count of high consquence work related injury or ill health of employees (excluding fatalities),High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member - Previous Year,0.84,High Confidence (MHA),High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,0.8381,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member - Previous Year,0.8339
Count of high consquence work related injury or ill health of (excluding fatalities),High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member,0.8164,High Confidence (MHA),High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member - Previous Year,0.8136,High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member,0.7975
Percentage of plants and offices that were assessed (by entity or statutory authorities or third parties) with respect to health and safety practices?,Percentage Of Health And Safety Practices Of Your Plants And Offices That Were Assessed P3,0.8059,High Confidence (MHA),Percentage Of Working Conditions Of Your Plants And Offices That Were Assessed P3,0.6953,Percentage Of Other Assessments Of Plant And Office - Other Assessments Domain14,0.6701
Provide percentage of total employees covered under health and safety measures training,Percentage Of Trained Employees Or Workers - Male Member - On Health And Safety Measures Member - Employees Member,0.7924,High Confidence (MHA),Percentage Of Trained Employees Or Workers - Male Member - On Health And Safety Measures Member - Employees Member - Previous Year,0.7921,Percentage Of Trained Employees Or Workers - Female Member - On Health And Safety Measures Member - Employees Member,0.7866
Percentage of total permanent employees covered by health insurance,Number Of Employees Covered As Percentage Of Total Worker - Other Retirement Benefits Domain4,0.6742,Medium Confidence (MHA),Number Of Employees Covered As Percentage Of Total Worker - Other Retirement Benefits Domain4 - Previous Year,0.6695,Number Of Employees Covered As Percentage Of Total Employees - Other Retirement Benefits Domain4,0.6673
Percentage of total other than permanent employees covered by health insurance,Number Of Employees Covered As Percentage Of Total Worker - Other Retirement Benefits Domain4,0.6909,Medium Confidence (MHA),Number Of Employees Covered As Percentage Of Total Worker - Other Retirement Benefits Domain2,0.6897,Number Of Employees Covered As Percentage Of Total Employees - Other Retirement Benefits Domain4,0.6865
Percentage of total permanent workers covered by health insurance,Number Of Employees Covered As Percentage Of Total Worker - Other Retirement Benefits Domain4,0.6604,Medium Confidence (MHA),Number Of Employees Covered As Percentage Of Total Worker - Other Retirement Benefits Domain2,0.6579,Number Of Employees Covered As Percentage Of Total Worker - Other Retirement Benefits Domain1,0.6485
Percentage of total other than permanent workers covered by health insurance,Number Of Employees Covered As Percentage Of Total Worker - Other Retirement Benefits Domain2,0.6726,Medium Confidence (MHA),Number Of Employees Covered As Percentage Of Total Worker - Other Retirement Benefits Domain4,0.6708,Number Of Employees Covered As Percentage Of Total Worker - Other Retirement Benefits Domain1,0.6621
Percentage of total permanent employees covered by accident insurance,Percentage Of Well Being Of Employees Or Workers - Female Member - Accident Insurance Member - Other Than Permanent Employees Member,0.695,Medium Confidence (MHA),Percentage Of Well Being Of Employees Or Workers - Male Member - Accident Insurance Member - Other Than Permanent Employees Member,0.6918,Percentage Of Well Being Of Employees Or Workers - Female Member - Accident Insurance Member - Other Than Permanent Workers Member,0.6851
What is the percentage of female employees in the workforce,Number Of Female Employees Or Workers,0.8377,High Confidence (MHA),Number Of Female Employees Or Workers - Previous Year,0.7748,Percentage Of Employees Or Workers Including Differently Abled - Female Member - Workers Member,0.7746
What is the turnover rate for permanent female employees in the Current Year,Turnover Rate - Female Member - Permanent Employees Member - Previous Year,0.8971,High Confidence (MHA),Turnover Rate - Female Member - Permanent Employees Member - Prior Previous Year,0.8881,Turnover Rate - Female Member - Permanent Employees Member,0.8748
What is the turnover rate for permanent female worker in the Current Year,Turnover Rate - Female Member - Permanent Workers Member - Previous Year,0.8716,High Confidence (MHA),Turnover Rate - Female Member - Permanent Employees Member - Previous Year,0.8626,Turnover Rate - Female Member - Permanent Workers Member - Prior Previous Year,0.862
Pay parity between male and female employees,Gross Wages Paid To Female,0.6439,Medium Confidence (MHA),Median Of Remuneration Or Salary Or Wages Of Workers - Other Gender Member,0.6402,Number Of Workers For Remuneration Or Salary Or Wages - Other Gender Member,0.6396
Number of complaints on PSH as a % of female employees/workers for current year,Percentage Of Complaints In Respect Of Number Of Employees Or Worker - Previous Year,0.702,High Confidence (MHA),Number Of Female Employees Or Workers - Previous Year,0.669,Percentage Of Complaints In Respect Of Number Of Employees Or Worker,0.6568
What is the gross wages paid to females as percentage of wages paid,Percentage Of Gross Wages Paid To Female To Total Wages Paid,0.9584,High Confidence (MHA),Gross Wages Paid To Female,0.9035,Percentage Of Gross Wages Paid To Female To Total Wages Paid - Previous Year,0.8984
How many complaints were filed on discrimination at workplace in current year?,Number Of Complaints Filed During The Year - Discrimination At Work Place Member - Previous Year,0.878,High Confidence (MHA),Number Of Complaints Filed During The Year - Discrimination At Work Place Member,0.8716,Number Of Complaints Pending Resolution At The End Of Year - Discrimination At Work Place Member - Previous Year,0.8105
How many complaints were filed by employees and workers or employees as a % of number of employees in the current year,Percentage Of Complaints In Respect Of Number Of Employees Or Worker - Previous Year,0.8708,High Confidence (MHA),Percentage Of Complaints In Respect Of Number Of Employees Or Worker,0.8167,Number Of Complaints Filed During The Year - Working Conditions Complaints Member - Previous Year,0.7658
What is the number of pending/unresolved employees and workers grievances as % of total complaints filed in the current year,Percentage Of Complaints In Respect Of Number Of Employees Or Worker - Previous Year,0.8018,High Confidence (MHA),Percentage Of Complaints In Respect Of Number Of Employees Or Worker,0.7907,Number Of Complaints Pending Resolution At The End Of Year - Working Conditions Complaints Member - Previous Year,0.7543
How many complaints were filed on wages in the current year,Number Of Complaints Filed During The Year - Wages Member,0.8627,High Confidence (MHA),Number Of Complaints Filed During The Year - Wages Member - Previous Year,0.8583,Number Of Complaints Pending Resolution At The End Of Year - Wages Member - Previous Year,0.7861
Pending resolution of complaints as a % of total complaints filed by employees and workers pertaining to working conditions,Number Of Complaints Pending Resolution At The End Of Year - Working Conditions Complaints Member,0.8538,High Confidence (MHA),Number Of Complaints Pending Resolution At The End Of Year - Working Conditions Complaints Member - Previous Year,0.8143,Number Of Complaints Pending Resolution At The End Of Year - Wages Member,0.7939
What is the turnover rate for permanent workers for the Current Year,Turnover Rate - Male Member - Permanent Workers Member - Previous Year,0.7949,High Confidence (MHA),Turnover Rate - Male Member - Permanent Workers Member - Prior Previous Year,0.7802,Turnover Rate - Male Member - Permanent Employees Member - Previous Year,0.7665
What is the turnover rate for permanent employees for the Current Year,Turnover Rate - Male Member - Permanent Employees Member - Previous Year,0.8011,High Confidence (MHA),Remarks For Assurance Of Turnover Rate For Permanent Employees And Workers Disclose Trends For Past Three Years,0.792,Turnover Rate - Male Member - Permanent Employees Member - Prior Previous Year,0.79
What is the percentage of cost incurred as a % of total revenue of the company with regards to spending on measures towards wellbeing of employees and workers?,Percentage Of Cost Incurred On Well Being Measures With Respect To Total Revenue Of The Company,0.859,High Confidence (MHA),Percentage Of Cost Incurred On Well Being Measures With Respect To Total Revenue Of The Company - Previous Year,0.8102,Amount Of Cost Incurred On Well Being Measures,0.6509
Percentage of workers or employees in association(s) or unions recognised by the listed entity,Percentage Of Employees Or Workers Are Part Of Associations Or Union Of Total Number Of Employee - Male Member - Permanent Workers Member,0.8049,High Confidence (MHA),Percentage Of Employees Or Workers Are Part Of Associations Or Union Of Total Number Of Employee - Male Member - Permanent Workers Member - Previous Year,0.802,Percentage Of Employees Or Workers Are Part Of Associations Or Union Of Total Number Of Employee - Male Member - Permanent Employees Member,0.7984
What is the number of complaints filed by the customers as a % of revenue in Current Year?,Percentage Of Complaints In Respect Of Number Of Employees Or Worker - Previous Year,0.7096,High Confidence (MHA),Percentage Of Complaints In Respect Of Number Of Employees Or Worker,0.6689,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Customers Member - Previous Year,0.6496
Total instances of product recalls,Remarks For Assurance Of Details Of Instances Of Product Recalls On Account Of Safety Issues,0.838,High Confidence (MHA),Assurance Sub Type For Details Of Instances Of Product Recalls On Account Of Safety Issues,0.7875,Whether Details Of Instances Of Product Recalls On Account Of Safety Issues Is Assured By Assurer,0.7613
% of value chain partners (by value of business done with such partners) that were assessed for Health and Safety practices?,Percentage Of Health And Safety Practices Of Value Chain Partners P3,0.8047,High Confidence (MHA),Percentage Of Value Chain Partners By Value Of Business Done With Such Partners That Were Assessed For Environmental Impacts,0.7942,Remarks For Assurance Of Percentage Of Value Chain Partners By Value Of Business Done With Such Partners That Were Assessed For Environmental Impacts,0.7625
What is the purchases from trading houses % of total purchases,Percentage Of Purchases From Trading Houses In Total Purchases For Concentration Of Purchases,0.9097,High Confidence (MHA),Percentage Of Purchases From Trading Houses In Total Purchases For Concentration Of Purchases - Previous Year,0.8703,Percentage Of Purchases From Top Ten Trading Houses In Total Purchases From Trading Houses,0.8667
What is purchases from top 10 trading houses as % of total purchases from trading houses,Percentage Of Purchases From Top Ten Trading Houses In Total Purchases From Trading Houses,0.9672,High Confidence (MHA),Percentage Of Purchases From Top Ten Trading Houses In Total Purchases From Trading Houses - Previous Year,0.9387,Amount Of Purchases From Top Ten Trading Houses,0.8954
Number of complaints filed by community stakeholders,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Communities Member,0.8099,High Confidence (MHA),Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Communities Member - Previous Year,0.8075,Number Of Complaints Pending From Stake Holder Group Resolution At The End Of Year - Complaint Received From Communities Member - Previous Year,0.77
Count of pending/unresolved communities grievances,Number Of Complaints Pending From Stake Holder Group Resolution At The End Of Year - Complaint Received From Communities Member - Previous Year,0.6067,Medium Confidence (MHA),Number Of Complaints Pending From Stake Holder Group Resolution At The End Of Year - Complaint Received From Communities Member,0.6059,Remarks For Assurance Of Describe The Mechanisms To Receive And Redress Grievances Of The Community,0.5502
Percentage of CSR obligation spent (CSR spent/CSR obligation),CSR Expenditure,0.7499,High Confidence (MHA),Amount CSR Spent For Financial Year,0.7387,Amount CSR To Be Spent For Financial Year,0.7102
What is the input material directly sourced from MSMEs/small producers (in % terms - As % of total purchases by value),Percentage Of Directly Sourced From MSMEs Or Small Producers,0.7472,High Confidence (MHA),Percentage Of Directly Sourced From MSMEs Or Small Producers - Previous Year,0.7233,Remarks For Assurance Of Percentage Of Input Material Inputs To Total Inputs By Value Sourced From Suppliers,0.6366
Percentage of capital expenditure investments in specific technologies to improve the environmental and social impacts of products and processes to total capex,Details Of Improvements In Environmental And Social Impacts Due To Capex,0.7698,High Confidence (MHA),Percentage Of Capex,0.6376,Percentage Of Capex - Previous Year,0.63
What is the input material sourced directly from within India as % of total purchases,Remarks For Assurance Of Percentage Of Input Material Inputs To Total Inputs By Value Sourced From Suppliers,0.6296,Medium Confidence (MHA),Whether Percentage Of Input Material Inputs To Total Inputs By Value Sourced From Suppliers Is Assured By Assurer,0.5661,Assurance Sub Type For Percentage Of Input Material Inputs To Total Inputs By Value Sourced From Suppliers,0.5353
What is the % of job creation in smaller towns - wages paid to persons employed in smaller towns (permanent or non-permanent / on contract) as % of total wage cost,Remarks For Assurance Of Job Creation In Smaller Towns Disclose Wages Paid To Persons Employed Including Employees Or Workers Employed On APermanent Or Non Permanent Or On Contract Basis,0.6685,Medium Confidence (MHA),Percentage Of Job Creation - Urban Member,0.6391,Percentage Of Job Creation - Semi Urban Member,0.6336
What are the number of days of account payable?,Number Of Days Of Accounts Payable,0.9442,High Confidence (MHA),Remarks For Assurance Of Number Of Days Of Accounts Payables,0.8431,Number Of Days Of Accounts Payable - Previous Year,0.8114
What is the sales to dealers/distributors as % of total sales,Percentage Of Sales To Dealers Or Distributors In Total Sales,0.9601,High Confidence (MHA),Amount Of Total Sales To Dealers Or Distributors,0.8957,Percentage Of Sales To Dealers Or Distributors In Total Sales - Previous Year,0.8865
What is the sales to top 10 dealers/distributors as % of total sales to dealers/distributors,Percentage Of Sales To Top Ten Dealers Or Distributors In Total Sales To Dealers Or Distributors,0.9701,High Confidence (MHA),Percentage Of Sales To Top Ten Dealers Or Distributors In Total Sales To Dealers Or Distributors - Previous Year,0.9536,Amount Of Sales To Top Ten Dealers Or Distributors,0.924
% of data breaches involving PII data of customers,Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers,0.7761,High Confidence (MHA),Remarks For Assurance Of Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers,0.6954,Number Of Instances Of Data Breaches Along With Impact,0.6459
Share of buildings that are certified according to international building standards/GRESB/IGBC,Whether Name Of The National And International Codes Or Certifications Or Labels Or Standards Adopted By Your Entity And Mapped To Each Principle Is Assured By Assurer,0.4694,Low Confidence (MHA),Property Plant And Equipment Expenditures Recognised For Constructions,0.4492,Number Of Certified Emission Rights Under Certification,0.4491
Percentage of independent directors on the board,Percentage Of Female Board Of Directors,0.7863,High Confidence (MHA),Total Number Of Board Of Directors,0.765,Number Of Female Board Of Directors,0.6847
Number of independent women directors on the board,Number Of Female Board Of Directors,0.9083,High Confidence (MHA),Percentage Of Female Board Of Directors,0.8542,Number Of Board Of Directors For Remuneration Or Salary Or Wages - Female Member,0.7424
Number of women directors on the board,Number Of Female Board Of Directors,0.9629,High Confidence (MHA),Percentage Of Female Board Of Directors,0.8917,Total Number Of Board Of Directors,0.7969
Average attendance for board meeting in the current FY,Number Of Meetings Of Board,0.7165,High Confidence (MHA),Date Of Board Meeting When Final Accounts Were Approved,0.4664,Frequency Of Review By Board - Public Policy34,0.447
Number of directorships of all board members,Total Number Of Board Of Directors,0.8995,High Confidence (MHA),Number Of Female Board Of Directors,0.7876,Percentage Of Female Board Of Directors,0.6979
Number of directors against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption,Remarks For Assurance Of Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption,0.806,High Confidence (MHA),Number Of Directors Against Whom Disciplinary Action Was Taken,0.7761,Number Of Directors Against Whom Disciplinary Action Was Taken - Previous Year,0.7747
Number of complaints received in relation to issues of conflict of interest of the directors/KMPs,Number Of Complaints Received In Relation To Issues Of Conflict Of Interest Of The KMPs,0.9066,High Confidence (MHA),Number Of Complaints Received In Relation To Issues Of Conflict Of Interest Of The KMPs - Previous Year,0.9002,Number Of Complaints Received In Relation To Issues Of Conflict Of Interest Of The Directors,0.8907
Percentage of independent directors in nomination and remuneration committee,Percentage Of Female Board Of Directors,0.6658,Medium Confidence (MHA),Remuneration To Directors,0.6545,Median Of Remuneration Or Salary Or Wages Of Board Of Directors - Male Member,0.628
Percentage of independent directors in audit committee,Percentage Of Female Board Of Directors,0.6257,Medium Confidence (MHA),Membership Number Of Auditor,0.5644,Total Number Of Board Of Directors,0.5632
Number of independent directors in risk management committee,Total Number Of Board Of Directors,0.6484,Medium Confidence (MHA),Number Of Female Board Of Directors,0.6309,Total Number Of Training And Awareness Programs Held - Board Of Directors Segment Member,0.581
Number of independent directors in CSR committee,Disclosure Of Composition Of CSR Committee Explanatory,0.7018,High Confidence (MHA),Total Number Of Board Of Directors,0.6803,Number Of Female Board Of Directors,0.6353
Percentage of subject matter experts appointed in the Audit Committee,Auditors Qualifications Reservations Or Adverse Remarks In Auditors Report,0.4571,Low Confidence (MHA),Disclosure Of Composition Of Audit Committee And Non Acceptance Of Any Recommendation Of Audit Committee Along With Reasons Explanatory,0.4522,Auditors Qualifications Reservations Adverse Remarks In Auditors Report,0.4485
Ratio of remuneration of MD/CEO to median remuneration of employees,Ratio Of Remuneration Of Director Or Managerial Personnel To Median Of Remuneration Of Employees For Financial Year,0.807,High Confidence (MHA),Median Of Remuneration Or Salary Or Wages Of Key Managerial Personnel - Male Member,0.7174,Median Of Remuneration Or Salary Or Wages Of Key Managerial Personnel - Other Gender Member,0.699
Percentage of non audit fees as compared to total audit fees,Payment For Cost Audit Charges,0.6449,Medium Confidence (MHA),Payments To Cost Auditor,0.5753,Payment To Cost Auditor For Reimbursement Of Expenses,0.5481
Number of whistle blower complaints filed in the current year,Number Of Complaints Filed During The Year - Working Conditions Complaints Member - Previous Year,0.5882,Medium Confidence (MHA),Percentage Of Complaints In Respect Of Number Of Employees Or Worker - Previous Year,0.5823,Number Of Complaints Filed During The Year - Working Conditions Complaints Member,0.5795
Number of pending consumer compliant on unfair trade practices,Remark For Consumer Complaints - Unfair Trade Practices Member - Previous Year,0.6992,Medium Confidence (MHA),Consumer Complaints Pending Resolution At End Of Year - Unfair Trade Practices Member,0.6975,Consumer Complaints Received During The Year - Unfair Trade Practices Member,0.6958
Number of employees against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption,Remarks For Assurance Of Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption,0.7814,High Confidence (MHA),Whether Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption Is Assured By Assurer,0.7312,Number Of Employees Against Whom Disciplinary Action Was Taken,0.7179
