brsr_question,xbrl_tag,bm25_score,ncd_score,p_value,verification_status,alt_xbrl_tag_1,alt_score_1
Turnover of products and/or services as a percentage of turnover from all products/service that carry information about the safe and responsible usage?,Products And Services Domain,19.7115,0.8142,0.0,Verified,Turnover Of Product Or Service Category,15.8496
What is the clinker factor ratio?,Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are,7.9057,0.7582,0.002,Verified,Name Of Stock Exchange Where The Company Is Listed,5.7656
What is fly ash % utilisation in current year?,Amount Provided In Current Year,6.4784,0.7222,0.0,Weak Match - Review,Other Utilisation Of Securities Premium If Permitted,5.793
Is the company investing in new generation aircraft fleet? Has the number increased as compared to previous year?,Number Of Employees In The Company At The End Of The Financial Year,14.9795,0.75,0.0,Weak Match - Review,Whether Company Has Published Sustainability Report For The Financial Year,13.9526
"What percentage of the total virgin raw material does the company produced and/or purchased covered by FSC, PEFC and/or SFI certification?",Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,12.7616,0.7059,0.0,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,11.8216
Total Lost time incident rate (LTIR)_Workers?,Discount Rate Used To Reflect Time Value Of Money Regulatory Deferral Account Balances,5.2544,0.7711,0.0,Verified,Rate Of Return Used To Reflect Time Value Of Money Regulatory Deferral Account Balances,4.9265
Total Lost time incident rate (LTIR)_Employees?,Commission Employees,6.9484,0.7273,0.008,Verified,Discount Rate Used To Reflect Time Value Of Money Regulatory Deferral Account Balances,5.2544
Total recordable work related injuries for employees as a % of the total employees in the company,Number Of Employees In The Company At The End Of The Financial Year,17.7571,0.6829,0.0,Verified,Commission Employees,13.8968
Total recordable work related injuries for workers as a % of the total workers in the company,Number Of Employees In The Company At The End Of The Financial Year,12.0919,0.7215,0.0,Weak Match - Review,Percentage To Total Turnover Of Company,11.4928
Fatalities of employees,Commission Employees,6.9484,0.5484,0.0,Verified,Number Of Permanent Employees On Rolls Of Company,4.3096
Fatalities of workers,Address Of Registered Office Of Company,0.7288,0.814,0.016,Weak Match - Review,Name Of State Union Territory Of Place Of Maintenance Of Computer Servers Storing Accounting Data,0.7267
Count of high consquence work related injury or ill health of employees (excluding fatalities),Commission Employees,6.9484,0.8214,0.004,Verified,Rates And Taxes Excluding Taxes On Income,5.8876
Count of high consquence work related injury or ill health of (excluding fatalities),Rates And Taxes Excluding Taxes On Income,5.8876,0.8354,0.018,Weak Match - Review,Capital Work In Progress,5.499
Percentage of plants and offices that were assessed (by entity or statutory authorities or third parties) with respect to health and safety practices?,Percentage Of Paid Up Capital Held By Foreign Holding Company And Or With Its Subsidiaries,9.9289,0.7652,0.0,Weak Match - Review,Compensation From Third Parties For Items Of Property Plant And Equipment,9.7602
Provide percentage of total employees covered under health and safety measures training,Training Recruitment Expenses,9.7928,0.8052,0.014,Verified,Safety Security Expenses,9.088
Percentage of total permanent employees covered by health insurance,Percentage Of Shares Held By Insurance Companies,8.3054,0.6364,0.0,Verified,Percentage Of Total Shares Held,8.2243
Percentage of total other than permanent employees covered by health insurance,Percentage Of Shares Held By Insurance Companies,8.3054,0.6389,0.0,Verified,Percentage Of Total Shares Held,8.2243
Percentage of total permanent workers covered by health insurance,Percentage Of Shares Held By Insurance Companies,8.3054,0.6364,0.0,Verified,Percentage Of Total Shares Held,8.2243
Percentage of total other than permanent workers covered by health insurance,Percentage Of Shares Held By Insurance Companies,8.3054,0.6429,0.0,Verified,Percentage Of Total Shares Held,8.2243
Percentage of total permanent employees covered by accident insurance,Percentage Of Shares Held By Insurance Companies,8.3054,0.6269,0.0,Verified,Percentage Of Total Shares Held,8.2243
What is the percentage of female employees in the workforce,Number Of Employees In The Company At The End Of The Financial Year,13.1578,0.6716,0.0,Weak Match - Review,Name Of Stock Exchange Where The Company Is Listed,9.5413
What is the turnover rate for permanent female employees in the Current Year,Number Of Employees In The Company At The End Of The Financial Year,14.4536,0.6338,0.0,Verified,Whether There Is Any Change In Functional Currency During The Year,11.1211
What is the turnover rate for permanent female worker in the Current Year,Number Of Employees In The Company At The End Of The Financial Year,11.621,0.6714,0.0,Weak Match - Review,Whether There Is Any Change In Functional Currency During The Year,11.1211
Pay parity between male and female employees,Commission Employees,6.9484,0.7083,0.004,Verified,Description Of Link Between Reimbursement Right And Related Obligation,5.0603
Number of complaints on PSH as a % of female employees/workers for current year,Number Of Permanent Employees On Rolls Of Company,8.6109,0.6667,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,7.2324
What is the gross wages paid to females as percentage of wages paid,Salaries And Wages,17.6477,0.7742,0.0,Verified,Dividends Paid To Noncontrolling Interests,9.0674
How many complaints were filed on discrimination at workplace in current year?,Whether Subsidiary Has Filed Balance Sheet,6.6731,0.7297,0.01,Verified,Amount Provided In Current Year,6.4784
How many complaints were filed by employees and workers or employees as a % of number of employees in the current year,Commission Employees,20.8453,0.8409,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,18.2152
What is the number of pending/unresolved employees and workers grievances as % of total complaints filed in the current year,Number Of Employees In The Company At The End Of The Financial Year,17.0536,0.7647,0.0,Verified,Whether There Is Any Change In Functional Currency During The Year,11.1211
How many complaints were filed on wages in the current year,Salaries And Wages,8.8238,0.8197,0.006,Verified,Number Of Employees In The Company At The End Of The Financial Year,7.1176
Pending resolution of complaints as a % of total complaints filed by employees and workers pertaining to working conditions,Terms And Conditions Of Shares Pending Allotment,12.1432,0.7447,0.0,Verified,Explanation Of Unfulfilled Conditions And Other Contingencies Attaching To Government Assistance,7.55
What is the turnover rate for permanent workers for the Current Year,Whether Company Has Published Sustainability Report For The Financial Year,11.3101,0.6538,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,10.8068
What is the turnover rate for permanent employees for the Current Year,Number Of Employees In The Company At The End Of The Financial Year,13.6393,0.6176,0.0,Verified,Whether Company Has Published Sustainability Report For The Financial Year,11.3101
What is the percentage of cost incurred as a % of total revenue of the company with regards to spending on measures towards wellbeing of employees and workers?,Number Of Employees In The Company At The End Of The Financial Year,15.6225,0.812,0.0,Verified,Percentage To Total Turnover Of Company,13.6699
Percentage of workers or employees in association(s) or unions recognised by the listed entity,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,10.3082,0.7117,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,8.6544
What is the number of complaints filed by the customers as a % of revenue in Current Year?,Number Of Employees In The Company At The End Of The Financial Year,14.221,0.7024,0.0,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,11.1725
Total instances of product recalls,Total Number Of Product Or Service Category,8.2235,0.6471,0.0,Verified,Total Liabilities Of Subsidiary,4.971
% of value chain partners (by value of business done with such partners) that were assessed for Health and Safety practices?,Names Of All Partners In Partnership Firm,13.8831,0.8416,0.0,Verified,Safety Security Expenses,9.088
What is the purchases from trading houses % of total purchases,Purchases Of Stock In Trade,10.5442,0.7167,0.0,Verified,Purchases Of Goods Related Party Transactions,10.141
What is purchases from top 10 trading houses as % of total purchases from trading houses,Purchases Of Stock In Trade,10.5442,0.7463,0.0,Verified,Purchases Of Goods Related Party Transactions,10.141
Number of complaints filed by community stakeholders,Whether Subsidiary Has Filed Balance Sheet,6.6731,0.6552,0.006,Verified,Number Of Shares Held By Mutual Funds,4.8217
Count of pending/unresolved communities grievances,Share Application Money Pending Allotment,5.8633,0.6786,0.004,Weak Match - Review,Terms And Conditions Of Shares Pending Allotment,5.2857
Percentage of CSR obligation spent (CSR spent/CSR obligation),Amount CSR Spent For Financial Year,38.426,0.76,0.0,Weak Match - Review,CSR Expenditure,34.0691
What is the input material directly sourced from MSMEs/small producers (in % terms - As % of total purchases by value),Micro Small Medium Enterprises Domain,7.1668,0.787,0.03,Verified,Summary Of Quantitative Data About What Entity Manages As Capital,7.1412
Percentage of capital expenditure investments in specific technologies to improve the environmental and social impacts of products and processes to total capex,Percentage Of Capital Reduction To Capital Prior To Reduction,11.7768,0.7788,0.0,Verified,Percentage To Total Turnover Of Company,11.6298
What is the input material sourced directly from within India as % of total purchases,Summary Of Quantitative Data About What Entity Manages As Capital,7.1412,0.6835,0.0,Verified,Whether There Is Any Departure From Ind AS,6.4945
What is the % of job creation in smaller towns - wages paid to persons employed in smaller towns (permanent or non-permanent / on contract) as % of total wage cost,Contract Cost,10.8193,0.887,0.0,Verified,Material Cost Contract,10.0739
What are the number of days of account payable?,Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are,7.2109,0.7473,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,7.1035
What is the sales to dealers/distributors as % of total sales,After Sales Service Expenses,10.4587,0.7705,0.0,Verified,Taxes Payable Sales Tax,9.861
What is the sales to top 10 dealers/distributors as % of total sales to dealers/distributors,After Sales Service Expenses,10.4587,0.8261,0.0,Verified,Sales Tax Pertaining To Exploration And Production Activities,9.9168
% of data breaches involving PII data of customers,Summary Of Quantitative Data About What Entity Manages As Capital,8.7251,0.7143,0.0,Weak Match - Review,Pin Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data,8.1358
Share of buildings that are certified according to international building standards/GRESB/IGBC,Repairs To Building,10.9139,0.7765,0.002,Verified,Number Of Certified Emission Rights Under Certification,6.3897
Percentage of independent directors on the board,Directors Signing Board Report Domain,9.031,0.5962,0.0,Verified,Reappointment Of Independent Directors As Per Section 14910 Explanatory,7.9453
Number of independent women directors on the board,Directors Signing Board Report Domain,9.031,0.5893,0.0,Verified,Reappointment Of Independent Directors As Per Section 14910 Explanatory,7.9453
Number of women directors on the board,Directors Signing Board Report Domain,9.031,0.5652,0.0,Verified,Number Of Meetings Of Board,7.5815
Average attendance for board meeting in the current FY,Date Of Board Meeting When Final Accounts Were Approved,9.1564,0.5397,0.0,Verified,Date Of Board Of Directors Meeting In Which Board Report Referred To Under Section 134 Was Approved,8.2092
Number of directorships of all board members,Number Of Meetings Of Board,8.2712,0.7083,0.0,Verified,Names Of All Partners In Partnership Firm,7.0655
Number of directors against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,11.3607,0.7429,0.002,Weak Match - Review,Details Of Implementing Agency,9.0357
Number of complaints received in relation to issues of conflict of interest of the directors/KMPs,Number Of Employees In The Company At The End Of The Financial Year,8.9259,0.7381,0.0,Weak Match - Review,Number Of Other Issues Of Shares,8.5041
Percentage of independent directors in nomination and remuneration committee,Disclosure Of Policy Formulated By Nomination And Remuneration Committee Relating To Remuneration For Directors Key Managerial Personnels And Other Employees Explanatory,12.1125,0.7344,0.0,Verified,Remuneration To Directors,8.5397
Percentage of independent directors in audit committee,Disclosure Of Composition Of Audit Committee And Non Acceptance Of Any Recommendation Of Audit Committee Along With Reasons Explanatory,8.5732,0.7327,0.0,Verified,Reappointment Of Independent Directors As Per Section 14910 Explanatory,7.9453
Number of independent directors in risk management committee,Reappointment Of Independent Directors As Per Section 14910 Explanatory,7.9453,0.6622,0.0,Verified,Information About Ultimate Risk Management Strategy In Relation To Hedging Relationships That Entity Frequently Resets,6.3807
Number of independent directors in CSR committee,Disclosure Of Composition Of CSR Committee Text Block,16.6008,0.6364,0.0,Verified,Disclosure Of Composition Of CSR Committee Explanatory,16.4991
Percentage of subject matter experts appointed in the Audit Committee,Disclosure Of Composition Of Audit Committee And Non Acceptance Of Any Recommendation Of Audit Committee Along With Reasons Explanatory,8.5732,0.6436,0.0,Verified,Percentage Increase In Remuneration Of Director Or Managerial Personnel In The Financial Year,6.1425
Ratio of remuneration of MD/CEO to median remuneration of employees,Ratio Of Remuneration Of Director Or Managerial Personnel To Median Of Remuneration Of Employees For Financial Year,17.8818,0.6813,0.0,Verified,Percentage Increase In Median Remuneration Of Employees In Financial Year,14.4871
Percentage of non audit fees as compared to total audit fees,Custodial Fees,18.1946,0.807,0.0,Verified,Subscriptions Membership Fees,16.4583
Number of whistle blower complaints filed in the current year,Number Of Employees In The Company At The End Of The Financial Year,9.2135,0.6716,0.0,Weak Match - Review,Whether Subsidiary Has Filed Balance Sheet,6.6731
Number of pending consumer compliant on unfair trade practices,Share Application Money Pending Allotment,5.8633,0.6825,0.004,Verified,Trade Payables,5.3903
Number of employees against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,11.3607,0.7524,0.0,Weak Match - Review,Number Of Employees In The Company At The End Of The Financial Year,9.936
Number of workers against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,11.3607,0.7308,0.0,Verified,Details Of Implementing Agency,9.0357
What is the share of RPTs (as respective %age) in purchases,Summary Of Quantitative Data About What Entity Manages As Capital,7.1412,0.6571,0.0,Verified,Purchases Of Stock In Trade,6.8056
What is the share of RPTs (as respective %age) in sales,Summary Of Quantitative Data About What Entity Manages As Capital,7.1412,0.6429,0.002,Verified,Name Of Stock Exchange Where The Company Is Listed,6.2146
What is the share of RPTs (as respective %age) in loans and advances,Loans And Advances,9.9611,0.7826,0.0,Verified,Short Term Loans And Advances,9.76
What is the share of RPTs (as respective %age) in investments,Summary Of Quantitative Data About What Entity Manages As Capital,7.1412,0.6571,0.004,Verified,Name Of Stock Exchange Where The Company Is Listed,6.2146
Are there any initiatives towards reduction in GHG emissions,Whether There Are Any Major Customers,10.48,0.75,0.0,Weak Match - Review,Whether There Are Any Reportable Segments,10.3278
What are the VOC/POP/HAP emissions for the current year (Unit: Metric Tonne),Whether There Are Changes In Acounting Estimates During The Year,11.147,0.716,0.0,Weak Match - Review,Number Of Employees In The Company At The End Of The Financial Year,10.8068
"What are the initiatives taken to reduce the NOx, SOx, PM, VOC, HAP and POP air emissions",Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,10.4051,0.6782,0.0,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,10.0519
Does the company have facilities/operations in water stress regions,Cost Water Charges,8.9314,0.7647,0.006,Verified,Number Of Employees In The Company At The End Of The Financial Year,7.0844
Has the entity implemented mechanism for Zero Liquid Discharge,Whether Company Has Published Sustainability Report For The Financial Year,7.4528,0.6538,0.0,Verified,Whether Any Borrowing Costs Has Been Capitalised During The Year,6.3494
Does the company monitor Chemical Oxygen Demand during water discharge,Cost Water Charges,8.9314,0.7714,0.01,Verified,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,6.5099
Third party verification of water data,Cost Water Charges,8.9314,0.7391,0.008,Verified,Disclosure Relating To Physical Verification And Material Discrepancies Of Fixed Assets,5.0763
What are the goals/targets/commitments towards Energy consumption,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,7.2884,0.6543,0.002,Verified,Appropriation Towards Bonus Shares,7.195
"Does the entity have any sites/facilities identified as designated consumers under the Performance, Achieve and Tade Scheme of the Government of India? (Y/N) If yes, disclose whether targets set under the PAT scheme have been achieved in case targets have not been achieved, provide the remedial action taken, if any",Whether Any Borrowing Costs Has Been Capitalised During The Year,30.8646,0.8544,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,24.3398
Is there a disclosure regarding the energy management system? ISO 50001 Certification,Details Regarding Energy Conservation,13.0786,0.7262,0.0,Verified,Whether There Is Any Change In Functional Currency During The Year,7.8416
Waste management practices and strategies to reduce usage of hazardous and toxic chemicals from the products and processes,Products And Services Domain,11.6039,0.8298,0.0,Verified,Disclosure Of Products And Services Explanatory,9.2052
"What are the processes to safely reclaim the products for reusing, recycling and disposing at the end of life for, (a) Plastics (including packaging) (b)e-waste (c) hazardous waste and (d) other waste?",Number Of Employees In The Company At The End Of The Financial Year,18.4152,0.8542,0.0,Verified,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,14.3956
"Whether Extended Producer Responsibility (EPR) is applicable to entity’s activities (Y/N). If yes, whether the waste collection plan is in line with the Extended Producer Responsibility plan submitteed to Pollution Control Boards",Whether Provisions Of Corporate Social Responsibility Are Applicable On Company,15.6654,0.7607,0.0,Verified,Whether There Is Any Change In Functional Currency During The Year,15.4085
Third party verification of waste data,Disclosure Relating To Physical Verification And Material Discrepancies Of Fixed Assets,5.0763,0.6824,0.0,Verified,Compensation From Third Parties For Items Of Property Plant And Equipment,4.4783
Is there presence of offices/manufacturing facilities in ecologically sensitive areas,Description How There Is Significant Influence In Associate,6.9957,0.6538,0.002,Verified,Disclosure Of Geographical Areas Explanatory,6.9195
Provide details of significant direct and indirect impact of the entity on biodiversity in ecological sensitive areas along with prevention and remediation activities,Impact Of Change In Classification Of Significant Foreign Operation On Shareholders Fund,10.2527,0.7265,0.0,Verified,Indication Of Other Forms Of Government Assistance With Direct Benefits For Entity,8.9971
Does the company have an Environment or a Biodiversity policy,Whether Initial Application Of An Ind As Has An Effect On The Current Period Or Any Prior Period,8.8104,0.7126,0.0,Verified,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,6.5103
Does the company’s policy on Biodiversity extend to its value chain partners (Y/N),Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,10.2015,0.7297,0.0,Verified,Names Of All Partners In Partnership Firm,6.39
Does the company take initiatives with regards to its Biodiversity conservation/land rehabilitation and biodiversity restoration,Description Of Accounting Policy For Decommissioning Restoration And Rehabilitation Provisions Explanatory,9.8029,0.625,0.0,Verified,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,9.2738
Are there any goals/targets/commitments set towards carbon neutrality/ Net Zero,Whether There Are Any Major Customers,10.48,0.7975,0.0,Verified,Whether There Are Any Reportable Segments,10.3278
Does the organisation report on CDP Disclosure as per Climate Change Module,Profit Loss For The Period As Per Ind As,7.8171,0.7778,0.0,Weak Match - Review,Profit Loss For The Period As Per Indian Gaap,7.5797
"Does the company perform climate related scenario analysis (based on TCFD framework); Based on the climate risk assessment, has the company set up a plan to adapt to the identified physical climate risks",Number Of Employees In The Company At The End Of The Financial Year,21.5472,0.8129,0.0,Verified,Whether Company Has Published Sustainability Report For The Financial Year,20.2942
Presence of ISO 14001:2015 certifications,ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data,10.1836,0.7975,0.002,Verified,Address Of Registered Office Of Company,0.7288
Does the entity implement carbon pricing mechanism/model?,Description Of Other Inputs To Options Pricing Model Share Options Granted,8.0775,0.6761,0.0,Verified,Revenues From Transactions With Other Operating Segments Of The Same Entity,5.2093
Does the company have a policy on environmental management and is it available publicly,Name Of Stock Exchange Where The Company Is Listed,8.1442,0.7436,0.0,Verified,Whether Company Is Listed Company,7.0724
"Is the entity compliant with the appliacble environmental law/regulations/guidelines for India; such as the Water (Prevention and Control of Pollution) Act, AIr (Prevention and Control of Pollution) Act, Environmental protection act and rules thereunder (Y/N). If not, provide details of all such non compliances",Operating And Maintenance Cost Of Emission And Other Pollution Reduction Equipments,16.4324,0.8085,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,15.0227
Does the company have a strategy for climate change adaptation and mitigation,Whether Company Has Published Sustainability Report For The Financial Year,6.7748,0.6282,0.002,Verified,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,6.6144
Discussion of the integration of environmental considerations into strategic planning for data centre needs,Number Of Employees In The Company At The End Of The Financial Year,5.5117,0.7738,0.0,Weak Match - Review,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,5.2272
"Are there any social or environmental concerns and/or risks arising from production or disposal of products, as identified in the Life Cycle Perspective/Assessments",CSR Project Or Activity Identified,14.1379,0.8175,0.0,Verified,Whether There Are Any Major Customers,10.48
"Has the company taken initiatives to use reusable, recyclable or compostable packagin",Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,9.5168,0.6667,0.0,Weak Match - Review,Whether Company Has Published Sustainability Report For The Financial Year,8.4351
What are the intiatives taken to reduce plastic packaging,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,7.2884,0.6914,0.0,Verified,Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are,6.0672
Turnover of products and/or services as a percentage of turover from all products/service that carry information about the recycling and/or safe disposal,Products And Services Domain,19.7115,0.8288,0.0,Verified,Disclosure Of Products And Services Explanatory,15.7728
Does your company have a publicly available no deforestation policy or commitment that applies to your company’s operational practices,Statement That Remuneration Is As Per Remuneration Policy Of Company,8.3665,0.7264,0.0,Verified,Whether Company Has Written CSR Policy,8.1528
Does the company owns/lease/manages forest land for its operations,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,8.4809,0.7207,0.0,Verified,Whether Company Has Published Sustainability Report For The Financial Year,6.7748
Are there any intiatives taken with respect to sustainable agriclutire by the company,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,11.5204,0.6703,0.0,Weak Match - Review,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,11.4785
Is the manufacturing smart farm equipments/machinery,Repairs To Machinery,8.5726,0.7627,0.004,Verified,Capital Investment On Energy Conservation Equipments,6.3979
"Is the company exposed to animal products and are these certified or accredited by one or more independent third party? If yes, does the company demand or monitor such certification or accreditation from its suppliers?",Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,21.6393,0.7518,0.0,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,19.4398
What are the initiatives taken with respect to Chemical Sagety management,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,8.0367,0.7033,0.0,Weak Match - Review,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,7.2884
Does the company have waste heat recovery systems for enchancing energy efficiency (Cement),Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,10.7861,0.679,0.0,Weak Match - Review,Details Regarding Energy Conservation,7.1394
"Is the forestland certified as per international sustainable forest management standards such as FSC, PEFC, SFI",Profit Loss For The Period As Per Ind As,10.246,0.7959,0.0,Verified,Profit Loss For The Period As Per Indian Gaap,9.3875
What measures are taken to reduce marine pollution and manage ballast water,Cost Water Charges,8.9314,0.7826,0.012,Verified,Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are,7.2492
Does the company comply with new regilation of Energy Efficiency Existing Ship (require al ships above 400GT),Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,9.9374,0.6667,0.0,Verified,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,8.1754
Are there any initiatives to promot sustainable shipping practices or reduce the carbon footprint of port operations,Whether There Are Any Major Customers,10.48,0.8172,0.0,Verified,Whether There Are Any Reportable Segments,10.3278
